1695976960# #爆！DYS德云色理性分析亚运LOL失利原因，直言第六名去亚运就是碰瓷。微笑。。“你上了一个最强中单，但是上了俩第三，三个第六名的。主教练朱开甚至几个月比赛都没参与，人家韩国队召回常年在LPL的打野Kanavi，连Faker都不给上。”。。英雄联盟中国队铜牌五ban打野
1702610539# #网友热议：Theshy是电竞肖战？。。同样是本人没什么特别大的黑料，同样是因为粉丝导致被攻击，同样是工作被影响。。各位认为Shy从经历上来说是电竞肖战吗思考。。英雄联盟theshy2024LPL
1699017139# #最新战报：GEN几个人走着回家的笑cry。。BLG战胜GENBLG晋级S13四强
1697017673# #DRX跟WBG选手在基地大合照，所有人一脸笑容！。今年微博有没有可能拿到去年DRX的剧本。。英雄联盟英雄联盟S13
1701843895# #英雄联盟2024LPL。。S2冠军中单Toyz直播砸冠军戒指：以后电竞相关活动不要找我。。。﻿冠军中单Toyz昨晚开启直播对参加台湾举办的2023电竞大赏一事道歉，在直播中用铁锤砸冠军戒指并表示今后将退出电竞圈。。。T﻿oyz谈到“以后电竞相关活动请不要找我，从今天开始Toyz没了，我对于这个圈子绝对没有正
1703147461# #历史第一AD候选人荣誉图。。。各位认为前五都是谁呢？。。英雄联盟2024LPL
1703666639# #LOL电竞全球负责人：拳头因为有Faker的存在一直心存感激。。。是不是说明这次Faker的冠军皮肤有可能会更特别一些馋嘴。。英雄联盟2024lpl
1698578684# #BLG输也只输强队，G2还是想多了，恭喜LPL四支队伍全部杀入八强，准备看抽签！。。LPL首次四支队伍进八强八强四支LPL
1695992908# #今年LOL亚运征程结束了，虽然不太合适但是还是想引用一下showmaker的话，其实输了对下一届更有盼头（安慰一下自己）泪。。Faker这下大满贯了吧？。。英雄联盟韩国队夺冠英雄联盟中国队输了
1700735913# #感觉保底也是世界赛八强了，像S12原班人马的EDG一样。难道网友的LPL未来三年五冠理论真的要实现了？。。T1冠军阵容全员续约英雄联盟
1696485577# #突然好奇，英文解说怎能称呼369的，threesixnine吗笑cry。。有无懂哥科普一下！。。英雄联盟英雄联盟S13
1696345637# #阿Bin这届亚运没打出来的原因是什么，感觉MSI他打zeus很有一手！。。英雄联盟
1698562480# #说一句Theshy尽力了，过分吗？。。英雄联盟S13Theshy尽力了
1701761329# #2023LPL全明星周末将于12月9日-10日正式开启。选手阵容与对战情况如下，各位撸友更期待哪场比赛呢？。想必大多都是正赛吧doge你对正赛的安排满意吗？。。英雄联盟LOL全明星赛
1703668309# #Xun和Chovy应该是职业选手里打排位最猛的两个吧？。。上分如喝水，猛的跟代练一样。。。英雄联盟2024lpl
1697180272# #小虎今年要拿到什么成绩才能改变大家对他的看法？。。每年世界赛，大家都要说他去尽孝，那xiaohu今年要怎么样才能逆袭。。。英雄联盟WBG
1695281405# #乌兹现身童锦程户外直播间（Uzi自己也在播户外），能为亚运助力神看起来很高兴！。。Uzi和童锦程骑行挑战Uzi带童锦程买车
1699521516# #瞳夕回应和兮夜同居节奏，Ale随便听到一个声音就说是我笑cry。。不得不说，阿乐是懂节奏的，也经常给Uzi搞很多节奏出来。。。英雄联盟S13英雄联盟
1704179173# #Doinb走后，玉玉天进化成开朗天，状态确实好，不过可惜TES现在就中野正常点允悲。。要是大B老师卷土重来，Tian再犯病，这银河战舰直接就散了二哈。。英雄联盟2024lpl
1695620306# #日本TGS上的国产二游震撼在日本TGS刮起二次元中国风。。霓虹的二次元大佬对白荆的PV都是一致好评，通通表示被这个游戏的美术和技术打动了！二次元中国风走出国门并不简单
1703751436# #各位认为中韩差距最大的是哪个位置呢思考。。英雄联盟2024LPL
1694770403# #说真的，我要是Uzi看到这里必破防衰
1699019525# #如何评价拳头想抬Chovy都抬不动，年年大赛拉胯，真的是队友太菜吗？。。BLG战胜GENChovy遗憾
1703315786# #抗吧选出的品德最差的选手TOP5。。。不知道是不是因为韩国的消息关注的不多，总感觉LPL的选手丑闻比LCK多的太多了允悲。。英雄联盟2024LPL
1701341073# #网友统计LPL各赛季输出王，确定ID没问题？傻眼。。英雄联盟英雄联盟S13
1695959629# #如何看待Ruler通过昨天战胜中国队，克服了五年前亚运被Uzi打哭的阴影？。。英雄联盟英雄联盟中国队输了
1704252498# #徐秀抽象整活笑cry。。Showmaker模仿辛德拉至臻星之守护者动作。。。英雄联盟2024lpl
1702262219# #刚刚打完全明星的Shy哥就面临无队可去的危机。。。今年12月报了中文加强班的他斗志依旧，Shy明显是还想再打一年的，出道至今，除了2018年受伤休息，健康状态下的Theshy保持全勤，但WBG的这波操作实在让人看不懂。。。如今Shy将何去何从？。。Theshy说今天发博告诉粉丝自己的计划。。各位认为结果会如何呢？是
1704266118# #看完前几天WBG和LNG的比赛，有一说一，今天下午BLG会给我们来波大的吗思考。。英雄联盟2024lpl
1702540367# #德杯马上就要开始了，来预测一下德杯冠军吧思考。。英雄联盟德玛西亚杯
1698216336# #为什么今年S赛戾气这么大？。。以往世界赛都一致对外，今年WBG遭重了。还没回家就已经万人唾弃，感觉大家都已经感觉微博输定了，以前有这种情况吗？。。英雄联盟英雄联盟S13
1698922059# #这一幕可以看出Theshy是真想赢，生涯最后一年进四强，也算是好的结局了吧。毕竟强如乔丹在奇才季后赛都没进！。。WBG晋级S13四强WBG零封NRG
1702521944# #各位怎么看蛇蛇开团大飞思考。。17年SKT打闪电狼Faker用腐败药水不吸引小兵仇恨Bug来压人。。。抗压吧热议：建议拳头剥夺大飞的四冠笑cry。。英雄联盟Faker
1695785902# #来自前亚运冠军国手Letme的现场督战笑cry不叫一下其他成员吗？。。英雄联盟英雄联盟亚运会
1704034016# #所以说大B老师是不是交了罚款就没事了思考。。英雄联盟Doinb
1703474616# #恭喜恭喜，一路走来确实不容易，百年好合打call。。这个座位表挺有意思，是按大区分的笑cry看看都有谁来了呢馋嘴。。管泽元余霜婚礼现场英雄联盟2024lpl
1703318173# #各位印象中小虎表现最逆天的英雄是哪个？二哈。。英雄联盟2024lpl
1702015753# #Theshy前几年确实厉害，顶级上单，不过这次决赛对宙斯失误真的挺多的。。。各位能否客观评价一下shy哥今年的表现思考。。英雄联盟2024LPL
1697790969# #Scout：很棒的战术暂停笑cry。。C9回溯LNG战胜C9
1696240959# #天道酬勤，Gala排位疯狂狂练女警。LPL最努力的选手之一，今年能圆梦吗？思考。。英雄联盟英雄联盟S13
1696753144# #左手的实力没有的到阿P的认可？。。英雄联盟英雄联盟S13
1698570559# #今年WBG能进八强是不是已经算成功了？毕竟这个队伍春季赛的时候都认为进季后赛就行了？。。WBG战胜FNCtheshy太想赢了TheShy十倍输出
1695631355# #网友投稿：小Tian来恶心Doinb了，新一轮战争爆发！。。小天在Rookie直播间送了个本魔法书，并且发弹幕我来蹭你热度了，应该是看了Doinb说宁王和肉鸡车队蹭他热度那个新闻笑cry。。英雄联盟英雄联盟S13
1697695193# #如何看待Faker中期连续被Pyosik抓死三次，并且在大龙出被光速回旋踢。是大飞老了，还是小P太强了并不简单。。T1对战TLT1战胜TL
1704254047# #外网爆料：沙特电竞世界杯有LOL项目，每个赛区2支队伍参赛！。。国外媒体人JacobWolf表示，拳头允许每个赛区派出两支队伍参加这次比赛，而拳头将不会自己决定各个赛区的参赛队伍。同时拳头在内部邮件中还要求各个联赛在7月份的第一周暂停所有比赛，来为电竞世界杯让路。不过具体细节还在商定中。。。
1702170840# #这张图是真的吗笑cry。。英雄联盟2024lpl
