1695195019# #3# #170# #0.7255921934543051
1700137217# #0# #29731# #0.07558485682466048
1702971180# #0# #60# #0.6612396606567351
1700393951# #0# #44437# #0.008955261253661187
1701440090# #0# #1# #0.005145501450340675
1703731721# #7# #988# #0.03870249456646549
1701263729# #0# #21# #0.18487375898783878
1697353773# #0# #5# #0.9873894806446094
1702705166# #0# #2# #0.9987031300837043
1696068424# #0# #4# #0.03299398655142843
1695878346# #0# #4# #0.7253263464495548
1700734314# #0# #1# #0.5643422902773028
1701870025# #0# #0# #0.25318146259741076
1700822086# #0# #5# #0.16831431796634308
1703916297# #0# #3# #0.2569482226531273
1700052087# #0# #2# #0.17373315800303957
1696411202# #0# #2# #0.8348708881101047
1700911946# #0# #23# #0.004408487693319639
1702221709# #0# #372# #0.9493356051658889
1703121320# #0# #1# #0.8336488170714457
1703468906# #0# #1# #0.006906901600022862
1700964096# #0# #4# #0.9819090241827098
1701655707# #0# #58# #0.1508891235022941
1701046323# #0# #87# #0.9634677594073743
1699863769# #0# #1# #0.033516009792482405
1695623715# #0# #1# #0.018627590446976688
1701076753# #0# #0# #0.013589832887656401
1702647073# #0# #2# #0.9888005711956146
1701257912# #0# #0# #0.016417161979937454
1703300885# #0# #78# #0.44069454671544983
1703035425# #0# #11# #0.338521590145678
1699001306# #0# #0# #0.8679483888756473
1701330919# #0# #6# #0.7711356953871579
1699850193# #0# #3# #0.7008989908880449
1703983932# #0# #179# #0.03336584722855133
1703122170# #0# #28# #0.7563333961652797
1699831457# #0# #0# #0.11645137366118623
1700442563# #0# #3# #0.6806070995161849
1697280308# #0# #0# #0.14793634140418224
1699162233# #0# #1# #0.7179911845605269
1697094469# #0# #1# #0.008248244650337314
1700839491# #0# #150# #0.4229387088638833
1699687894# #0# #0# #0.9044096251786425
1700823115# #0# #0# #0.8693231162345009
1701164583# #0# #7# #0.14415287890677875
1697852341# #0# #113# #0.20649870347787203
1701998594# #0# #368# #0.37084608494090016
1701003294# #0# #1# #0.9935105130905563
1701164420# #0# #67# #0.11980317013058364
1700522303# #0# #108# #0.620604457241345
1700376690# #0# #2# #0.10349865265086317
1703918935# #0# #4# #0.18257593527624663
1703812710# #0# #6# #0.05028022297220051
1703421720# #0# #344# #0.21234587362807036
1699170424# #0# #0# #0.9623808437138403
1701092491# #0# #0# #0.6213495822197649
1699000962# #0# #0# #0.6028594544129893
1703164913# #0# #46# #0.2904927717920339
1704165803# #0# #1# #0.6122246454873297
1699362658# #0# #0# #0.5053261143888786
