1702647745# #刘诗诗任如意就是牛
1701495070# #来了来了刘诗诗一念关山打call刘诗诗任如意
1701442355# #刘诗诗堪称这部剧吸睛的最大亮点之一赢牛奶
1701135468# #今晚看如意啦
1689603344# #刘诗诗蓝色长裙好优雅。今晚的神图化妆师摄影师多多合作
1695287370# #刘诗诗驾驭的很好赞
1695292739# #刘诗诗极具破碎感的哭戏镜头。这个真的戳到我了抱如意宝
1702985233# #一念关山的立意。啊啊啊啊啊啊啊又刷了一遍32集的我哭的稀里哗啦刘诗诗演的好好真的把任如意这个角色立起来了本粉丝强烈建议路人朋友们去看一下一念关山（除了中间几集➕结尾颠了）很很很很很好看
1701356906# #宝你记得下回打刘诗诗任如意顺便给自己做数据了赢牛奶
1701745978# #狐妖小红娘竹业篇官宣杀青。。你们有人懂吗有人懂吗就是她走过来的那瞬间感觉就是极致的be美学
1701343721# #一念关山替身马赛克。嘿子我们商量一下，你嘿刘诗诗的时候可以带大名刘诗诗任如意吗？或者可以去弹幕骂吗？数据人数据魂，你带刘诗诗任如意大名我们就剧播以后算账收到。
1701185673# #恭迎诗神！
1701349628# #任辛赶紧上大号
1698726445# #谁懂啊刘诗诗虚荣粉这次好满足啊4套高定爽死谁了我不说
1701184368# #这破碎感…
1703247413# #到期不续直接给刘诗诗磕一个吧
1701320949# #刘诗诗刀马旦美人。‼️快来看快来看快来看。任何人没看到这段打戏花絮的我都会眼睛尿尿的悲伤。刘诗诗任如意你怎么可以这么飒。
1701949517# #一念关山第19集在线人数80w➕啦刘诗诗任如意冲！！！
1691044850# #刘诗诗吴宣仪背着发光蝴蝶。既然提到了那就期待刘诗诗新剧吧。
1693233471# #请问你在高贵什么？别家工作室都积极回应粉丝诉求，维护自家艺人，只有你什么也不做，花絮日常反黑粉丝运营哪条都不做，意见也不听，你在傲娇什么？你有什么能力？
1701343332# #一念关山替身马赛克。说的再多都不如去剧里审判一下。亲自看下刘诗诗的打戏。欢迎来爱奇艺审判刘诗诗新剧《一念关山》。风里雨里我在爱奇艺等你。
1689595231# #今天妆这么好看造型是个什么鬼
1702126181# #哈哈哈哈哈刘诗诗任如意你要可爱死我
1701615136# #刘诗诗任如意：“人生莫做他人妇，百年苦乐由他人。”
1703227804# #抛开剧方骚操作来说一念关山从一定意义上来讲确实算一部好剧任如意也是刘诗诗塑造的又一经典好角色。
1702122647# #刘诗诗任如意综艺里怎么这么可爱抱抱我的美丽小宝
1700888785# #所以可以抱一下我吗
1699025731# #化妆师锁住摄影师可以弃了
1703742843# #宝生日快乐每年都在认真长大
1701518934# #存个档8点一念关山在线人数205w刘诗诗任如意
1703398580# #狐妖小红娘竹业篇。关山已过，前路犹长。。任如意再见啦。。你好，东方淮竹，期待与你相见。
1700926555# #彻头彻尾的丢人现眼你看看其他女明星都卷成什么样了就你一口一个用作品说话别人恨不得34套衣服配不一样的发型妆容，提前一天就去拍，你呢？出图最慢，图最难看，妆容衣服最拉垮，结果来一句演员的本质是作品，这么清高别去参加活动啊
1701085801# #胡歌为刘诗诗新剧打call。欢迎【明晚7点】来爱奇艺观看【一念关山】。。🐺《灭国后，公主她杀疯了》
1703506334# #耗子粉使劲扒拉人家的样子太好笑了哈哈哈哈哈你看人家搭理你吗
1699013774# #她就这样轻松地秒了所有
1701612997# #破万了！！！！！刘诗诗任如意牛逼！！！！
1698198563# #哪个狗东西想出的调休
1700738779# #刘诗诗红衣面纱舞。任如意快点来等不及了
1700902024# #这边建议以后不要出席活动了好好拍剧吧
1689683691# #优酷爱奇艺都来了。你是在搜各大平台都争抢的优秀女演员刘诗诗吗？来都来了那就期待刘诗诗新剧一念关山狐妖小红娘竹叶篇吧打call
1701180988# #不好意思都给刘诗诗让一下路打call
1702739145# #排队亲亲我的小可爱
1701671260# #《入我任门》
1702213654# #柠萌影视避重就轻自导自演火速自辟，却在昨天一念关山加戏剧本修图相关舆论中一言不发。嫁接路透故意捏造再辟谣，洗白改剧本改人设的事实，多次埋线消耗一番女主刘诗诗信誉，我是否可以合理怀疑剧方趁今晚热度重建献祭女主？@柠萌影视
1693109167# #既然来都来了那就期待我们优秀女演员刘诗诗的待播剧一念关山和狐妖小红娘竹叶篇吧赢牛奶
1690635545# #小宝真是好看@段奥娟CLARE
1701485465# #刘诗诗演技层次感。天呐这种破碎感只有她能演的出来了
1702127764# #天黑时，安国国主依然没有召见杨盈，她转而拂袖离开，反倒将了安国人一军。李同光按照宁远舟所教的，一回安都就将朱衣卫和北磐人袭击他的事禀报安国国主李隼，可李隼显然并未将北磐人入关一事放在心上，反倒盘算着如何从梧国人手里拿过十万两黄金扩充军资，转而攻打褚国。与此同时，如意也计划着要去朱
1697378584# #好飒
1702648126# #女主复仇线ppt。刘诗诗任如意的粉丝只专注刘诗诗任如意。不给米胡人眼神。只知道一番女主刘诗诗新剧一念关山热度再创新高太开心
1703405544# #一念关山编剧回应争议。关山已过，刘诗诗粉丝已经期待下一部剧了。。期待狐妖小红娘竹叶篇期待我们东方淮竹。
