1700127878# #0# #28# #0.033007666839706844
1698117491# #0# #4# #0.0032873933649363914
1697703797# #0# #49# #0.019224717361990367
1700542064# #0# #10# #0.4253988419789516
1702386387# #0# #5# #0.050619643110772876
1691575991# #0# #61# #0.3467316838209062
1693394558# #0# #11# #0.07682588306881279
1703656043# #0# #10# #0.02088802104077609
1700921609# #0# #29# #0.4062340737767045
1693306402# #0# #13# #0.008122980565127568
1698115765# #0# #29# #0.028634369949623033
1703261569# #0# #7# #0.9949758247841509
1697282568# #0# #16# #0.1798964595645646
1690561370# #0# #45# #0.1247727258140885
1689567245# #0# #15# #0.061925298471659104
1702172108# #0# #5# #0.9140334010151482
1688647715# #0# #56# #0.6537234479827372
1689597262# #0# #8# #0.6071828486720169
1696918803# #0# #40# #0.009632316038606245
1696582971# #0# #8# #0.6257201966614178
1697816270# #0# #38# #0.4409109037118614
1700066506# #0# #16# #0.010152741902759827
1698222228# #0# #9# #0.8338582671860156
1695950000# #0# #27# #0.014852765589565331
1697077533# #0# #10# #0.025205843228951513
1689227002# #0# #8# #0.9955555369719185
1701781294# #0# #7# #0.07563777997656077
1688542367# #0# #14# #0.48023293064009986
1691557896# #0# #46# #0.2744259737555887
1700393383# #0# #26# #0.8827519548112343
1692700512# #0# #14# #0.014031535786741081
1703609554# #0# #10# #0.03469678518928559
1692458165# #0# #355# #0.07397566081235703
1702820409# #0# #40# #0.0056521485423699025
1703940788# #0# #12# #0.16353583884054748
1700456405# #0# #23# #0.008091639167253745
1692411357# #0# #29# #0.03177929908571974
1699148209# #0# #20# #0.6355508139326073
1700206004# #0# #89# #0.860635423342985
1699616903# #0# #13# #0.3106110145875417
1702376938# #0# #14# #0.8022642621759135
1698568942# #0# #10# #0.9814902620647756
1691259685# #0# #222# #0.04786280332997625
1703163945# #0# #4# #0.03694951073954497
1700484449# #0# #39# #0.288222226707502
1689142152# #0# #37# #0.05028274542686984
1700902863# #0# #32# #0.010419806457982097
1703175774# #0# #9# #0.20053132637546847
1690701585# #0# #18# #0.24168190627666675
1697514293# #0# #4# #0.10013742447752995
1698027001# #0# #14# #0.7573204332398811
1692365942# #0# #40# #0.013572562010092541
1702216871# #0# #5# #0.057314045567661565
1695724908# #0# #15# #0.016697291633347204
1691578423# #0# #39# #0.3184172433309493
1699432197# #0# #5# #0.014113879131996613
1703917769# #0# #46# #0.013869959598164927
1692422647# #0# #25# #0.23408532523247624
1694761794# #0# #38# #0.032957167101096425
1690031364# #0# #301# #0.021587068019446473
1693393644# #0# #23# #0.505499053309128
1703606511# #0# #8# #0.1273352445053716
1693569087# #0# #23# #0.04043395915762244
1698925992# #0# #5# #0.006246006890471902
1688834041# #0# #34# #0.014067622348281782
1691251960# #0# #14# #0.09157027115727691
1699073221# #0# #19# #0.17463472100815033
1693356295# #0# #255# #0.6260278017297541
1702707536# #0# #7# #0.486567969448544
1697021130# #0# #29# #0.00545312704643079
1697998555# #0# #20# #0.9729691925660565
1691511292# #0# #27# #0.005258395392838562
1690474992# #0# #32# #0.48064758565753124
1691567163# #0# #35# #0.26857961585116913
1701611866# #0# #9# #0.04044536526544766
1690531376# #0# #13# #0.8531309848739698
1698499227# #0# #147# #0.007437919887494656
1693556475# #0# #122# #0.2191842336192367
1694652961# #0# #16# #0.057324163827425785
1693799350# #0# #5# #0.11675491088703725
1703833279# #0# #7# #0.4826231145878199
1692894287# #0# #39# #0.7951540904411252
1697204498# #0# #58# #0.006779803240602786
1702608975# #0# #51# #0.4233779986617002
1689686819# #0# #23# #0.08126130882064146
