1695178800# #中国电竞出征亚运期待中国电竞在赛场上绽放光芒，向世界展现中国电竞的力量！我是微博亚运电竞助威官米勒，和我一起为中国亚运加油！亚运会电竞亚运竞荣耀
1692172423# #英雄联盟12周年英雄联盟陪伴了我们一代人的青春，还记得当年我买“永恒之森&nbsp;奥恩”时，觉得它作为慈善皮肤有着特别的意义。如今“斗魂觉醒莎弥拉”也将参与“守护者”公益计划，兄弟们带话题英雄联盟守护者公益计划&nbsp;转发本条微博，抽取12位幸运召唤师送【斗魂觉醒&nbsp;莎弥拉】皮肤，我们一起守护
1689177192# #看了下今年解说杯的上单参赛名单，想转辅助了泪解说杯
1689746808# #米勒常规赛盘点英雄联盟超话。xdm常规赛总结Time虽迟但到打工人，季后赛明天就开战！2023lpl夏季赛
1694868082# #太猛了，恭喜dbg！下届什么时候开打单身狗解说杯
1698404997# #恭喜lng晋级八强！！！英雄联盟s13
1690031833# #大树有奇效啊！恭喜edg！！！今天发挥真不错2023lpl夏季赛
1689850834# #这两盘太顶级了。。脑溢血2023lpl夏季赛
1691243729# #恭喜jdg！！！三连冠！！！lpl的一号种子！！！goodgoodgood2023lpl夏季赛
1698921267# #恭喜wbg，3:0晋级四强！！！英雄联盟s13
1690630867# #大黄钓鱼成功！tes一波翻盘馋嘴2023lpl夏季赛
1697714022# #WBG好暴力！兰博一波先攻偷300块，太爽了吧英雄联盟S13
1703246602# #培养下一代宝可梦训练师努力
1690192475# #第一盘edg经典白忙活啊，前期的劣势还是太大。rookie妖姬太尽力了！2023lpl夏季赛
1698627601# #米勒赛事速递Day9，LPL整整齐齐晋级八强！BeryL神之一手，我们避开了内战，兄弟们要各凭本事了，八强加油打call！。。英雄联盟s13s13赛评营地
1697684403# #兄弟们，马上就要和老搭档一起为大家解说世界赛咯！。这次老朋友KI上校也回归了！还是上校最懂我，直接带来了观赛强力Buff！。这氛围一下子就上来了！一起为LPL加油！。
1698488236# #看得好气啊，这能输英雄联盟s13
1701669869# #酸黄瓜圣代，太上头了。。。
1698625388# #出发去现场了兄弟们酷英雄联盟s13
1702197621# #山鸡上单德莱文馋嘴lpl全明星
1688909790# #jdg是怕饭堂没素材吗，ig牛逼！2023lpl夏季赛
1691411784# #恭喜wbg！shy鞋好像是有道理的！松松的洛开的太好了，明天wbg再战edg争夺最后一张门票吃瓜2023lpl夏季赛
1700040450# #wbg优先选边选择蓝色酷英雄联盟s13
1698022802# #米勒赛事速递Day4，BLG有惊无险拿下胜利。WBG遭遇两连败，后面都是生死战了，兄弟们抓紧时间好好调整！JDG加油BLG加油LNG加油WBG加油。。英雄联盟S13s13赛评营地
1699597194# #天太冷了，来碗羊肉面吧兔子
1703212688# #冬至一碗羊肉面馋嘴
1698053010# #恭喜gam，送lcs三号种子tl回家了awsl英雄联盟s13
1700803116# #云顶新版本悟大发了，一早上四🐔
1691497941# #恭喜wbg，四号种子！最后一盘够顽强，指挥决策都完美。逆风翻盘！2023lpl夏季赛
1691490970# #wbgedg的比赛玩的就是翻中翻doge2023lpl夏季赛
1700443801# #米勒赛事速递决赛，最后一战，赢家属于T1和Faker，唯有敬佩。今年的故事就到这里了，大家辛苦了，我们明年再见！英雄联盟s13s13赛评营地
1697799411# #啊？？？搞这出翻中翻中翻英雄联盟s13
1698479043# #啊？！第一盘g2被暴虐，最后不会给nrg进八强了吧笑哈哈英雄联盟s13
1699189332# #恭喜
1688990863# #haichao请神失败，gala爆杀并不简单
1697769001# #米勒赛事速递又和大家见面啦举车，瑞士轮首日LPL全胜！四大赛区秋季赛揭幕战来了！英雄联盟s13s13赛评营地
1699692589# #shy哥这烧烤师傅真有点猛吧！美如画的兰博英雄联盟s13
1695975100# #有惊无险！拿到胜利！
1704103118# #小孩哥教我们玩宝可梦卡牌笑哈哈
1698056339# #秒选狗熊很帅，点燃丹砂无奈，诺手德玛不在，游戏只能失败笑哈哈英雄联盟s13
1690202394# #fo神！你有功！大树+杰斯太能消耗了！看决胜局了馋嘴2023lpl夏季赛
1697883089# #geng1:0g2，这冰女选出来就是给塞拉斯偷大的笑哈哈贾克斯真是双射手亲爹英雄联盟s13
1690205626# #恭喜tes！晋级四强goodgoodgoodedg好好调整，准备冒泡赛吧2023lpl夏季赛
1692230401# #沸腾吧解说员如今哪里都在鼓励个性发展，但在解说台上，作为解说要时刻告诉自己这不是一场独角戏，和搭档配合好同样能让解说更出彩，也能给到观众更好的体验！
1698565513# #帅！放shy曲了英雄联盟s13
1693023198# #解说杯S4xdm把力量借给我，吃上大餐，记你们一半功劳doge开启夏日副本
1690365512# #手段极其残忍！小时候看这集吓哭了。。2023lpl夏季赛
1697967889# #blg2-1！前期对面小菊有点麻烦，但fnc阵容后期完全没伤害，blg三核成型之后还是轻松取胜酷英雄联盟s13
1699179500# #全面碾压，恭喜t1英雄联盟s13米勒赛事速递s13赛评营地
1693229476# #马队给力！！！3胜了！解说杯
1690557464# #跟langx对线一晚上，头昏了晕解说杯
1689248559# #edg稳定的第一盘。。2023lpl夏季赛
1698580537# #今天太猛了，加油bin哥打call
1690335205# #上单真的苦，最近练了70盘的英雄，一盘mvp没拿！fk解说杯
1699702120# #ts不打大优势wbg还真赢不了啊，blg这边野辅状态很好！看决胜局了英雄联盟s13
1695467155# #多宝教我下国际象棋哈哈
1701933595# #tenz真帅吧，哥哥！！！
1697879820# #恭喜jdg率先晋级八强！大魔王的硬实力还是顶！lng需要等待下一个2-1的对手，加油英雄联盟s13
1700290639# #首尔第一顿，mlxg！
1698918420# #wbg2:0！拿到赛点！英雄联盟s13s13赛评营地
1690195951# #edg这个阵容中期poke起来了！tes大龙逼团急了。大黄涩住了2023lpl夏季赛
1701923387# #吃点儿早餐哈欠
1696588205# #瓦卡在钻三了，准备换个鼠标。兄弟们给点意见gpw3，蝰蛇v3p，eccw哪个能助枪男上超凡无畏契约
1691059103# #直接绿树出发并不简单
1698310135# #c9燕雀zzm玩应该有了笑哈哈英雄联盟s13
1695168303# #早！今年第一碗羊肉面awsl
1699146001# #米勒赛事速递八强赛Day3，来自LPL的炮车帮助JDG拿下胜利！三等一了兄弟们酷，LNG加油LNG加油！英雄联盟s13s13赛评营地
1690371707# #bin的贾克斯太顶级了，赏心悦目馋嘴blg拿到赛点！2023lpl夏季赛
1690025194# #wocomg的团战太顶级了，这也能翻！？？2023lpl夏季赛
1699959307# #今天跟雨哥鹰酱都合上影了，帅酷微博竞燃之夜
1690282553# #小虎这沙皇力中尽力。。lngpoke阵容扳回一局！2023lpl夏季赛
1699026127# #两连胜之后心情都变好了，又上jd买了鼠标和耳机哈哈
1691239817# #jdg还得是得拿招牌英雄！再次的听战歌了！knight狐狸太猛了！2023lpl夏季赛
1697338545# #每次买了新鼠标，我都觉得我的游戏技术又要提升了
1699785007# #faker这一推英雄联盟s13
1696832291# #adam这盖伦还真有手法，bds3:0gg晋级入围赛，北美是真不行啊！s13世界赛
1700405779# #大家辛苦了英雄联盟s13
1693664836# #一声太子，一生太子抱抱抱抱抱抱
1698575806# #长痛局！英雄联盟s13
1697369466# #第一轮抽签！好签s13世界赛
1689073280# #又是腿！去机场接前在聊，飞机都要起飞了还在聊doge2023lpl夏季赛
1688719134# #恭喜edg，不容易啊，虽丑但赢！哈哈2023lpl夏季赛
1703478183# #
1699808529# #恭喜
1690634361# #这大鳄鱼！恭喜lng晋级！topgap2023lpl夏季赛
1695966303# #今天继续解说季军赛还有决赛，祝大家中秋快乐！
1698910482# #现场买了件世界赛夹克感觉挺帅，结果查了下国内英雄联盟官方商城，便宜四百块。。。。。英雄联盟s13S13赛评营地NRG对战WBG
1690203691# #蝎子莱莱！！！2023lpl夏季赛
1698738147# #网吧上网，背后两个韩国小学生在玩lol和瓦，想solo虐一下他们酷
1699176708# #。。。难了英雄联盟s13s13赛评营地
1698049708# #冠军千珏还是猛，把tl拉回来了笑哈哈英雄联盟s13
1689384947# #好玩海钓
1691205484# #2023LPL夏决即将到来……十年志向巅峰，六年无畏守护，能坚持梦想的才是真英雄。我们把“努力”走成“实力”，用“热爱”守护“信仰”。新十年，让我们继续奔驰共赴，笃定前进！十年联盟六年守护LPL十周年
1697695540# #小p这么来劲啊，t13c还是兜住了笑哈哈s13世界赛
1704540405# #恭喜blg！knight真猛吧熊猫
1690623867# #lng状态好啊，大黄差点儿000结束。tes第一盘是晕的2023lpl夏季赛
1696826983# #wtf盖伦上场了s13世界赛
1691725907# #上次来颐和园还是多宝的年纪HO加油
1700706160# #！！！刷出个大宝贝笑哈哈笑哈哈笑哈哈无畏契约
1689943277# #恭喜nip！季后赛的第一场以下克上！2023lpl夏季赛
1701766190# #鼠标键盘多的意义：打不过就换外设！
1703125489# #懒人借口多哈欠
1691233570# #给左手选安妮好像有点难c，lng的牵制拉扯做的完美，lng把比分扳平了！2023lpl夏季赛
1696387820# #看看谁被刀了哈哈哈哈哈哈哈哈哈哈哈哈
1691236715# #这就是lng的首次决赛吗，顶级运营！2:12023lpl夏季赛
1698915249# #灯神！英雄联盟s13
1695861767# #选手登场了打call亚运会电竞
1699177182# #下一盘放发条，自己拿猪妹阿卡丽鳄鱼吧，不留遗憾了英雄联盟s13s13赛评营地
