1701844624# #3# #121# #0.1797243985742955
1693803360# #1# #0# #0.35123687706734746
1693625580# #1# #0# #0.5746509241163116
1699853880# #1# #0# #0.09509850285441065
1688870395# #1# #0# #0.20783186261217274
1690082100# #1# #0# #0.060893850481898354
1702869600# #1# #0# #0.2530638120663434
1702351860# #1# #0# #0.04453804271773875
1689744540# #1# #0# #0.09511303141263779
1700452080# #1# #3# #0.04002031588131981
1693749361# #1# #1# #0.43503398143332883
1696739400# #1# #0# #0.5394219029413881
1693792200# #1# #1# #0.9999199253042507
1699335300# #1# #0# #0.45392591446138625
1694059201# #1# #0# #0.9996946701824171
1688538960# #1# #0# #0.25804972909499446
1701325980# #1# #0# #0.6537846816022121
1690259340# #1# #0# #0.24407545600530933
1696221000# #1# #0# #0.5658428680889218
1688371826# #1# #0# #0.664281637795482
1693114740# #1# #0# #0.11892644610962047
1693291080# #1# #0# #0.1768919957041277
1687677900# #1# #1# #0.10341319009475887
1696300120# #1# #1# #0.1522447204084256
1700097325# #1# #1# #0.9272743959882738
1697770445# #1# #0# #0.03925001642721336
1687148760# #1# #1# #0.8320170308926637
1702541700# #1# #1# #0.5424988567886334
1704158163# #1# #0# #0.016239539655415046
1696304402# #1# #0# #0.10658235592138816
1690771080# #1# #0# #0.10035332938747936
1689995220# #1# #0# #0.03447234254309648
1695522410# #1# #1# #0.09357644102043962
1695020400# #1# #0# #0.5267603051144806
1691387531# #1# #0# #0.6722890895853938
1701600480# #1# #0# #0.4601942193252287
1689903960# #1# #0# #0.12059617268208193
1690867500# #1# #0# #0.8729349077533249
1704249060# #1# #0# #0.12917434359857846
1703736003# #1# #0# #0.9978424719922913
1696831320# #1# #0# #0.8322388014018064
1694312700# #1# #0# #0.10657660036956133
1692587340# #1# #0# #0.9816025936968383
1688176527# #1# #0# #0.9516872666334526
1694837041# #1# #0# #0.16148323193972386
1691371385# #1# #0# #0.5134682972035199
1693809600# #1# #0# #0.748210457644935
1691199001# #1# #0# #0.11933089080404433
1700616105# #1# #1# #0.8920617864990162
1689741240# #1# #0# #0.3106750166035938
1688880120# #1# #0# #0.9631243816355916
1688089883# #1# #0# #0.8011328997650172
1694913045# #1# #0# #0.4985750366987835
1697505431# #1# #0# #0.034799558676076224
1696150221# #1# #1# #0.03785301436906918
1690785300# #1# #0# #0.25633134969062976
1689217380# #1# #0# #0.23165750691375742
1691888700# #1# #1# #0.42371578493106943
1701063720# #1# #0# #0.9987525230480079
1696302898# #1# #0# #0.10140926126160732
1698289200# #1# #0# #0.48147429397886893
1702455241# #1# #0# #0.0796740300680563
1698714586# #1# #0# #0.04506314486434553
1692088522# #1# #0# #0.14014202905708978
1689055020# #1# #0# #0.28490032012049366
1702778580# #1# #0# #0.9774441462359774
1691817420# #1# #0# #0.040415077989639184
1703467985# #1# #0# #0.12215771974452883
1702003200# #1# #0# #0.25317710276623817
1697855400# #1# #0# #0.016101402665885688
1702194180# #1# #0# #0.987295583147668
1699331760# #1# #0# #0.2574349211379245
1694151360# #1# #0# #0.3974141431834435
1687761480# #1# #1# #0.9439686035567015
1695277920# #1# #0# #0.569815933729315
1693893540# #1# #0# #0.8749788222742768
1694055600# #1# #0# #0.49787785530235595
1701845220# #1# #0# #0.7677747594323568
1703945834# #1# #0# #0.1589782469453835
1703319720# #1# #0# #0.45694063298984616
1692092759# #1# #0# #0.2509109164950682
1703308920# #1# #0# #0.26605182113603293
1700623200# #1# #1# #0.47641984223884154
1703640744# #1# #0# #0.18151207790058815
1687311600# #1# #0# #0.4036844762961968
1687224600# #1# #0# #0.2849572752969531
1701318780# #1# #0# #0.11894626071243201
1703062877# #1# #0# #0.07585081269315713
1695000445# #1# #0# #0.044831880067943836
1689055500# #1# #0# #0.13930844216100927
1690337228# #1# #1# #0.6844630823277303
1687138408# #1# #0# #0.9426756699145201
1688433720# #1# #0# #0.4398868944528372
1703479440# #1# #0# #0.6327552814837955
1696750037# #1# #0# #0.17455715870683697
1699321802# #1# #1# #0.24669304146311383
1692765832# #1# #0# #0.14618942747683708
1696216500# #1# #1# #0.3903933021399037
1697185755# #1# #0# #0.9766452222169643
1690603876# #1# #0# #0.41800645635419165
1698648840# #1# #0# #0.40779899531673824
1693546440# #1# #0# #0.6635252396596172
1701134098# #1# #0# #0.3385622657290889
1702948551# #1# #0# #0.986744261440616
1702874096# #1# #0# #0.12272709936389535
1695968820# #1# #0# #0.05447993210662028
1698042540# #1# #0# #0.7591567003545739
1699255980# #1# #0# #0.9655488915004172
1702523580# #1# #0# #0.7109052435893258
1698808800# #1# #0# #0.43241515019377497
1693618895# #1# #1# #0.10602841136459323
1693036500# #1# #1# #0.017165002856349202
1699252320# #1# #0# #0.8313754913096886
1697160280# #1# #0# #0.6573063085016048
1696742580# #1# #0# #0.603910076173453
1696394460# #1# #0# #0.9416675126061153
1692324600# #1# #0# #0.037568033788400935
1698718201# #1# #0# #0.22859959183089507
1692491042# #1# #0# #0.011473487670588147
1703332431# #1# #0# #0.07329380352215122
1698733381# #1# #0# #0.02364960248707144
1699593000# #1# #0# #0.2060580370633854
1693535150# #1# #0# #0.0744658428515831
1689297276# #1# #0# #0.8163614443809114
1699775160# #1# #0# #0.919447272396818
1687670513# #1# #0# #0.06121271935698524
1702091993# #1# #0# #0.6898623186824245
1697262180# #1# #0# #0.4244549897622462
1700361240# #1# #0# #0.04255942267678242
1697180400# #1# #0# #0.6720230310413485
1688961360# #1# #0# #0.23323470052085477
1695866970# #1# #0# #0.06941680756476497
1695706984# #1# #0# #0.8199504320596983
1687313280# #1# #5# #0.3727523628681072
1701603660# #1# #0# #0.41774873891376946
1696314300# #1# #0# #0.2800075378722254
1689384660# #1# #0# #0.5498348442452752
1701142680# #1# #0# #0.44813903071526073
1689054575# #1# #0# #0.9529153884040565
1697419096# #1# #0# #0.03412582964105226
1701912771# #1# #0# #0.9422514324098
1693547328# #1# #0# #0.22880170062813188
1691462400# #1# #0# #0.784012580461175
1701912526# #1# #0# #0.23922109856255205
1702615080# #1# #0# #0.6574021953188848
1692524091# #1# #0# #0.9806484991056111
1699068840# #1# #0# #0.16690723077648553
1703126040# #1# #0# #0.4680233238986375
1698134400# #1# #0# #0.1783968196345216
1697077200# #1# #0# #0.2993248539013747
1695531120# #1# #1# #0.127539424471793
1701134476# #1# #0# #0.8868604393886096
1693364100# #1# #0# #0.9618225550573248
1689474540# #1# #0# #0.8124828516369874
1698109779# #1# #0# #0.032484494482157525
1697769180# #1# #0# #0.20403706281417555
1691127180# #1# #0# #0.3633557878276916
1699417680# #1# #0# #0.16821308071047109
