1702211525# #刘德华和梁朝伟属于香港影坛乃至中国影坛的两大旗帜人物，梁朝伟的影帝数量和质量在香港、全国乃至全亚洲都是首屈一指，刘德华则是影帝、票房两不误，影帝数量在众多演员中也是名列前茅，票房也是稳扎稳打十分稳定。二人合作的电影中，有喜剧、有古装剧、有警匪片，类型不一；有口碑极好、被视为港片最
1700975643# #1998年宁愿花1000万请刘德华也不愿意花500请黎明，因为黎明号召力跟他的价格不符合。就敢狮子大开口。黎明从出道在现在票房最高一部才1.39亿，已经六七年没人找他拍戏了。作品方面没有拿出手，唯一营销就是慈善糖丸。糖丸疫苗是1964年全国推广。93年联合国儿童基金在香港发起募捐活动，筹得善款350万美
1693797078# #很多人问梁朝伟片酬高还是刘德华片酬。在无间道之前是刘德华高，无间道之后是梁朝伟。目前为止梁朝伟片酬是七千万港元，刘德华是六千万。这是香港演员目前为止最高两位，梁朝伟片酬高但是大多数有价无市请他拍戏不多。刘德华奖项虽然没有他的多，但是刘德华一向是圈中导演爱用的演员，除了因为他叫好叫
1694934825# #刘德华获多伦多电影节的特别贡献奖期待红毯先生10.27号上映
1702224802# #期待刘德华电影潜行
1704469224# #刘德华电影潜行你们看了吗？
1703493024# #去看了电影《潜行》的首映，好看！酣畅淋漓，枪战爆破戏也很精彩！！全程沉浸式观影，生怕错过重要细节，整个情绪完全被电影带着走，刘德华把反派诠释的很带感，两幅面孔示人，做事滴水不漏，看似斯文儒雅的精英律师，实则在用最平静的状态最着最疯批的事，每个细微表情动作都太会演了，看似没有情绪变
1704094518# #潜行香港上映日期1.11号，但是点映几场给粉丝看，香港上映潜行比内地多了半个小时，所以剧情不通我理解了，但是看完预告总算看懂一些。看来港片还是去香港才能看完整。方当年无间道，大只佬内地都是限制的，怪不得内地票房比不过海外票房刘德华超话
1704528934# #期待刘德华春节档电影红毯先生
1688045038# #成龙刘德华真正是国家的牌面。但凡国家重大活动，几乎这两人都在！李克勤地位可比黎明高了很多，黎明算是彻底糊了。基本大型活动没有他的份，吴京的地位也毋容置疑，现在虽然不行但是随着时间的沉淀也会越来越高！吴京好好学习唱歌。毕竟很多活动需要唱歌庆祝一下
1693926382# #宁浩刘德华新片釜山电影节闭幕影片刘德华饰演演员刘伟驰，宁浩饰演导演林浩，余伟国饰演制片人。而在现实中宁浩就是导演，刘德华就是巨星，余伟国就是制片人。这部电影全部都是自己扮演自己啊。你说它是电影它也是现实，你说它是现实但它也是电影。这就是刘德华+宁浩+余伟国三个人（亚洲新星导)实验
1703506202# #看潜行一定行，刘德华超话
1704456358# #电影潜行结尾只是幻觉，其实没有回家
1688046989# #六公主首页宣传是刘德华肖战两大男神
1704711038# #看了金手指和潜行都不错。期待他们以后多合作
1691325558# #华语电影男星电影数量排行榜。。1.刘德华一共拍了164部电影排名第1。2.吴镇宇一共拍了141部电影排名第2。3.梁家辉一共拍了129部电影排名第3。4.成龙一共拍了116部电影排名第4。5.古天乐一共拍了115部电影排名第5。6.刘青云一共拍了105部电影排名第6。7.周润发一共拍了93部电影排名第7。8.周星驰一共拍了61部电
1704864461# #为啥一定演王家卫电影呢？离开他是不是不能演了，王家卫电影有几部有票房的？
1703939250# #看完潜行马来西亚婚礼上那个飞机扫射刘德华的人，是香港警方，是林家栋透露的，要不然刘德华不会跟任达华说，你最好求神拜佛保佑我女儿没事。到最后女儿走了，刘德华跟警察说，我女儿走了，本来刘德华已经让林家栋替他换了boss账号头像(林家栋发现刘德华就是boss秘密，要么死，要么提他做boss。林家栋
1703861443# #看了还不错
1704801642# #一闪下雪场浪漫升级新年返场
