1703504931# #刘诗诗主要还是路人缘好演技和状态也好而且也有男主自身的原因但凡换一个长得帅+演技尚可的男性呢允悲毕竟娱乐圈本质还是i男
1703993413# #刘诗诗官方后援会声明。某些粉又在刘诗诗相关rs跳脚了。实在想操心建议去报警太开心。借机踩刘诗诗的你正主一直住下水道太开心
1703344663# #三阿哥真又又又长高了。哈哈哈哈我还以为笑cry。不过没看过甄嬛传的我终于知道到底这个是什么梗了
1699105640# #谢可寅成都音乐节舞台。绝美小谢！多多见面吧！
1701175588# #一念关山节奏。两集了真好看自动忽略也不影响观感。刘诗诗演技真🐮。没有特别拉胯的。一念关山必爆赢牛奶赢牛奶
1701421634# #我也疯了开学季开学季刘诗诗任如意演技又一个高光作揖
1700103987# #所以说什么时候进组揣手
1701225861# #一念关山口碑。刘诗诗演技真🐮啊赢牛奶。任如意好飒剧情人设台词节奏无拉胯。爱奇艺已经上线六集。路人朋友们评价前记得去看看开学季开学季
1702872121# #鲨疯了想吃那个🫓刘诗诗精彩ok开年封面鲨疯了
1701135389# #白宇前途无量赢牛奶赢牛奶前途无量阵容官宣
1701953326# #一念关山。不得不说这剧除🐭之外没有缺点了抱一抱抱一抱。刘诗诗任如意演技真的🐮美貌也在线。其他演员也都演的很好很有角色特点。很好的群像剧。感情戏想快进但又被一姐的美貌和演技吸引。真是看的又爽又折磨允悲
1704203369# #刘诗诗的晚安短信。苦涩苦涩收到了张杰老师的。没关系我们狐妖小红娘竹业篇ost杰哥一定要来嘻嘻嘻嘻
1700396134# #我到底什么时候能见到刘诗诗苦涩苦涩
1698290739# #i人真的会很respect笑cry
1703667867# #刘诗诗半扎发赢牛奶刘诗诗任如意。好美好美可以进组了太开心太开心
1703472253# #转刘诗诗任如意偷笑刘诗诗东方淮竹
1697767530# #喜欢喜欢谢可寅失重游戏好撩
1696509934# #多吃一点呀！
1701614413# #谢谢only开学季开学季“杀人者任辛”olay亚太区品牌代言人刘诗诗二哈一念关山热度破万
1701615461# #可隆是你的靠山二哈刘诗诗任如意
1702288471# #不拉进度条不跳过刘诗诗任如意鼓掌鼓掌
1702829838# #哈哈自拍白宇前途无量
1703304175# #刘诗诗任如意绝美赢牛奶期待东方淮竹
1701354771# #刘诗诗真的把任如意这个角色吃透了
1701230790# #可可爱爱任如意刘诗诗任如意专访
1701608690# #一念关山热度。先破万再说快去刷弹幕开学季。今天剧情高能啊！！
1702019304# #刘诗诗白衣撑伞。好美好美期待今晚剧情。刘诗诗任如意持续开大开学季开学季
1699452751# #唯爱吃肉的我和姐绝配送花花刘诗诗香奈儿品牌形象大使
1704038642# #新年快乐！多多见面太开心
1696849164# #非自然死亡翻拍。无所谓反正我不看二哈
1702917297# #泪泪泪我的如意元禄。哭死我了狗🍋你还我暗恋线跪了
1701530039# #任如意爆改人生导师。想当孤狼N号开学季开学季。刘诗诗任如意徒弟带我一个赢牛奶
1701613153# #一念关山破万。啊啊啊啊啊刘诗诗任如意。手都点麻了苦涩苦涩苦涩苦涩
1701838819# #刘诗诗谈时隔五年再演古装剧赢牛奶一念关山刘诗诗任如意
1695724852# #常州见哦鲜花真美
1698365067# #srds还是爱金发单身狗
1699057138# #真美抱一抱
1702893875# #一念关山超点大结局。大结局肯定很癫哈哈哈。昨天公主就看的我爽到了哈哈哈哈。期待期待！速速来看刘诗诗任如意！！！。今天还有绝美造型
1702259279# #曾经的龙葵现在的任辛。苦涩苦涩苦涩娘娘说我上辈子是把剑。刘诗诗任如意任辛
1697380517# #笑死谢可寅你居然可以这么甜辛苦了跪了好甜啊！！！
1701074842# #刘诗诗任如意野猫妆。我们孤狼任如意可不是什么小野猫。11.28爱奇艺一念关山来看任如意赢牛奶赢牛奶
1704035144# #艹谢可寅头发长出红玫瑰
1700902373# #刘诗诗打戏仪态。期待一念关山刘诗诗打戏就没有拉胯过太开心
1702128850# #一念关山修图。涛这些不如去看剧二哈。今天戏份还可以。刘诗诗任如意粉丝都在灾后重建跪了
1697787376# #wc你居然真的长进了多来点，爱看
1703913269# #前女友说TT酒后施暴。说唱圈真的没有好男人偷笑
1697709844# #额。。莫比乌斯环有点恍惚
1704035032# #浙江卫视跨年晚会。谢可寅太牛了开麦好明显还又唱又跳跪了跪了。这业务能力不多来几个舞台偷笑
1704123760# #妈耶晏诗党居然还有这么多苦涩感动
1699353330# #好美好美刘诗诗欧米茄名人大使
1702056942# #一念关山加戏。天呐看到现在原来今天的戏份没怎么伤到我。下集预告给我伤惨了。吐一口老血跪了。这是使团你掺一脚如意不在。如意报仇你还来？还一如既往慢镜头bgm装b跪了。真真实实的把我骗进来鲨啊费解。不敢想后边剧情了如意的复仇线不会两集就拍完而且旁边全是🐀吧伤心。
1700824037# #感觉好久没见了苦涩好想
1704037518# #好明媚啊！谢可寅头发长出红玫瑰舔屏谢可寅0104生日快乐
1702714314# #期待刘诗诗任如意哇哇
1700225421# #看着好吃😋
1703675551# #刘诗诗为胡歌唐嫣新剧打call。爱奇艺一念关山任如意在播抱一抱。狐妖小红娘竹业篇也可以预约！！！
1703915628# #极盗者刘诗诗白客。吃瓜不信瓜偷笑。不如来爱奇艺预约狐妖小红娘竹业篇赢牛奶
1702085493# #刘诗诗戏份。先说好就算后边剧情全是🐀我也会贡献热度。为的是刘诗诗任如意和其他演员们都贡献了最好的演技。和🐀没有任何关系拜拜
1701141934# #天呐刘诗诗陪看开学季这好日子刘诗诗任如意
1704207987# #新的一年姐姐多拍戏
1700662250# #。开推2一定要接啊苦涩苦涩。不能每次常驻都只去一季啊。综艺对我也很重要啊跪了跪了。当然实在没时间我也是可以接受的悲伤
1701834593# #诗诗现在坚定好多有自己的想法不被动摇赢牛奶真好
1696230376# #可可爱爱抱一抱
1696345914# #辛苦辛苦好可爱鲜花
1701132947# #刘诗诗一念关山雪中舞抱一抱刘诗诗任如意。应该今晚就能看到雪中舞了吧赢牛奶赢牛奶。第一集就开大喜欢😍
1700661682# #白宇白宇我求你了跪了跪了
1699922399# #刘诗诗刘宇宁你好星期六。天呐时隔多久的综艺啊！。希望一念关山不要作妖别辜负了诗诗跪了。早点播完早点期待下一部鼓掌
1702634852# #一念关山安都副本决胜局诗诗会不会玩这个啊笑cry
1703992411# #刘诗诗官方后援会声明。后援会重组都能上rs笑cry。刘诗诗粉丝也能收拾收拾出道了太开心。还不如去预约爱奇艺狐妖小红娘竹业篇东方淮竹偷笑
1702892625# #一念关山超点大结局路人可以来抽并不简单
1702113011# #刘诗诗任如意二哈爱奇艺转发刘诗诗微博
1697462939# #期待期待色色注意膝盖！
1702043521# #一念关山加戏。想护剧又无话可说。刘诗诗任如意出场即高光。给🐭加再多戏也抢不走
1701567059# #任如意大女主。希望刘诗诗任如意到安国可以多一点戏份开学季开学季
1701438126# #刘诗诗无实物表演孤狼战狼苦涩演的太好了
1699254311# #竹叶杀青了烦请继续进组谢谢刘诗诗优雅黑天鹅
1694919439# #好帅送花花
1702610083# #一念关山27集剪辑。好茶好茶。但凡剧有负面评论就甩锅给女主和男三粉。“护”的一手好剧666666。既得利益者的嘴脸可真是好看👀。不过反正刘诗诗任如意一番出场即高光哇哇。任如意三分钟颠覆朝堂不想权倾朝野是他不想吗？确实是因为他不想666
1696692234# #林俊杰咸阳。要不是the9突然复活要搞演唱会想去看谢可寅。咸阳我就能去了泪。好不容易离得还挺近的。明年有机会再见吧失望
1702219537# #为什么不带常华森。官博的心眼儿比🐀眼睛都小了二哈。戏内戏外都80啊。一个男三就这么害怕人上桌啊鄙视。不是群像剧吗？现在不认了
1701652784# #刘诗诗任如意开学季开学季姐粉好棒👍🏻
1701055475# #虽然每天刘诗诗首页负能量爆棚。职黑入赘剧方一个不落的倒油。但还是挺开心。毕竟断档了好久讨论度还这么高。娱乐圈无人问津才最可怜笑cry。明天就开播了。希望到时候观剧体验能稍微好一点抱一抱
1696753624# #抱一抱嘻嘻
1702126069# #刘诗诗任如意
1702134084# #那可是刘诗诗啊。万物起源又来了。同事评价而且刘诗诗任如意也当得起偷笑。记得来看爱奇艺一念关山⛰️哇
1694754097# #妈耶色色
1701261000# #刘诗诗谁是你表妹开学季刘诗诗任如意。哈哈哈可惜了和于十三不像有感情线的样子。直播看完开始刷剧开学季开学季
1703409552# #好帅谢可寅崔十九
1701185105# #刘诗诗古装仪态。一晚上了渣浪终于把刘诗诗大名放出来了拜拜
1702527567# #以后专注安利刘诗诗任如意哇哇反正该遗憾的不应该是我二哈
1697121868# #solo追星远离粉圈确实能多活几年笑cry
1703395113# #狐妖小红娘竹业篇。期待天选东方淮竹赢牛奶赢牛奶。快去爱奇艺预约嘻嘻
1701953429# #超级帅啊舔屏什么时候刘诗诗任如意单人再来场酣畅淋漓的打戏
1699598669# #虽然谢可寅有待播剧。但是已经上线的只有亲爱的小孩还戏份不多。可供小谢选择的剧本肯定不是很多。提升知名度才是当前最重要的。不管什么剧既然谢可寅接了肯定有角色的可取之处作揖。最重要的还是希望大家谨言慎行。别被有心人利用作揖
1702012392# #刘诗诗端水式晒自拍昨天超高能剧情偷笑爱奇艺一念关山快去看刘诗诗任如意
1701088836# #哈哈哈哈哈哈哈
1702053252# #刘诗诗任如意十三可以可以二搭对我眼睛好开学季
1701956331# #刘诗诗任如意天生帝师说到未来想干的事业也是教授女子有用的知识抱一抱
1702127618# #任如意李同光师徒相认。明天明天开学季开学季期待。今天谈恋爱戏份太多了。还忍着在做刷热度苦涩
1701237969# #任左使刘诗诗任如意太开心
1694094246# #白宇西出玉门老年妆。一口气看完更新。阔以阔以作揖。白宇的眼光和演技是真的免检。好帅啊差点被路透骗了笑cry
1704337838# #好酷期待刘诗诗正片打call打call
1701666731# #艹就说明不嫌弃你所以她是专业演员？二哈好大的脸
1701908145# #《一念关山》热播！刘诗诗刘宇宁携手闯关
1703855637# #图书馆30秒平等发生在每个人身上。人还是要有良心嘻嘻
1695084898# #🐎
1698931707# #期待谢可寅
1703758946# #白宇在香港拍的电影到底是什么类型角色跪了。想看大反派awsl
1701274022# #妈耶杀疯了一念关山破万全员跳女团舞苦涩刘诗诗打戏感觉真的会武功
1697369723# #好想见面啊苦涩苦涩27号快点到吧
1704069389# #真美舔屏舔屏
1703422553# #刘诗诗任如意任辛好帅啊！！
1701176295# #一念关山镜头美感。不多说了快去看赢牛奶。爱奇艺已经上线六集太开心。剧情演技剪辑打戏节奏都在线！！
1698812979# #谢可寅真劳模跪了怎么会有人这么爱工作
1695697889# #真棒啊泪泪刘诗诗最美表演
1701610895# #一念关山热度。快去球球了9990了作揖作揖。真的好看今天全是高能剧情。开学季开学季
1701051399# #刘诗诗一念关山期待
1697605423# #哦莫？
1704189818# #谢可寅0104生日快乐
1699343836# #很美快点杀青进下一个组送花花送花花
1704592830# #刘诗诗好美舔屏喜欢多拍
1701194307# #看完了苦涩任如意必大爆
1703482835# #姐到底录了多少采访笑cry笑cry刘诗诗任如意
1701133609# #刘诗诗任如意色刘诗诗一念关山雪中舞
1696392558# #演出顺利！
