1687658389# #本来是一个温馨的场面，没想到……我拿你当兄弟，你却想占我便宜允悲消防蓝朋友
1703779388# #【仓储物流场所如何做好防火工作？】仓储物流场所堆放的物资数量多、密度大，可燃物种类多，火灾隐患大。因此，各物流仓储企业一定做好火灾防范工作，排查消防安全隐患，避免事故发生！
1695156909# #12306最多候补20个车次【乘列车出行小贴士】你抢到票了嘛？火车高铁上人员密集且封闭的空间，消防安全尤为重要。今天来说说高铁列车消防那些事。火车高铁上有哪些消防设施？遭遇火车高铁火灾该怎么做？戳图学习啦！
1688602180# #【男子沉迷海景忘记涨潮被困礁石】近日，福建福州，男子海边游玩时，一时沉迷于眼前美景没注意涨潮，发现时为时已晚过不来了，被困海边礁石无奈报警。消防员赶赴，为其做好防护后，利用长绳将人营救至安全地带。
1702834470# #【消防员拉住轻生老人紧紧不放】近日，山东济南，老人一时想不开情绪激动，翻出窗台，倒悬5楼防盗窗外欲轻生。山东消防夜幕下赶赴，蓝朋友救援却遭老人排斥，只好紧紧拉住老人，最后和队友配合用救援绳将其安全救回。ps：有啥大事过不去呀，生命只有一次千万要珍惜~
1697927574# #【消防员暖心救助摔倒老人】暖心一幕！近日，陕西西咸，消防员在上班路上遇见老人摔倒在地上，身体很虚弱，不能自行站立，消防员第一时间拨打120并上前询问老人情况。等待医护人员到场后，在确保不会给老人产生第二次伤害的前提下缓慢将老人扶起，得知老人无大碍后，消防员才慢慢离开。
1698176590# #【女子探洞不慎掉坑消防深夜前往救人】近日，贵州黔南，一女子与朋友结伴探洞，意外坠落至深约20米的洞穴里，双腿及左臂受伤无法动弹，只好报警求助。消防员赶赴，查看女子伤势做好前期处理后，将其转移到担架上并固定，小心翼翼地将被困女子从洞底拉出来，送往医院救治。ps：冒险有风险，须谨慎！
1691973765# #家长请注意！又一起儿童被电动指甲刀夹嘴唇！重庆消防守护人间烟火气你可以永远相信中国消防
1702247522# #【110秒内电瓶车从自燃酿成大火】近日，湖北武汉，一电动自行车在车棚内深夜突发自燃。根据监控显示，电动车发出第一声爆炸声响后，开始多次发出爆炸声、燃烧火焰、火势越烧越烈发出白光、火势大到引燃车棚不断有火种掉落……110秒内，小火酿成大火。提示：购买合规电动车、规范使用电动车、规范给电
1698768112# #黑龙江消防快讯【井口再小为了救人他们说下就下】近日，江西吉安，一名工人在消防水池作业时突然昏迷不醒。接警后赶赴，由于工人意识不清无法配合，需要下井施救，井口直径仅有80厘米，消防员做好防护后迅速进入，成功将其救出并送医治疗。
1691625529# #【地震发生如何科学避险】地震随时可能发生，掌握科学避险方法和逃生技巧，有助于减轻灾害带来的意外伤害。以下这些地震逃生常识，要记牢！四川山东两地凌晨地震
1699113669# #【消防员帮村民收稻谷这一幕好治愈】近日，江苏淮安，这一幕给秋天添了一丝暖意～
1691536834# #【蓝朋友也有痛苦面具】实拍蓝朋友高强度训练后的肌肉放松，这也太酸爽了吧！蓝朋友：说实话我也不想叫，但是真的好疼啊！网友：话说可爱的蓝朋友也有痛苦面具啊～
1695156931# #【海口一临街商铺起火1人遇难】9月18日00时49分，海南海口，一临街铺面突发起火，着火物质为日杂百货，过火面积约180平方米。接警后，消防、应急等部门迅速赶赴处置，3时许，明火被扑灭。此次火灾造成一名市民不幸遇难，无人员受伤。火灾具体原因正在调查。
1703373823# #【救援队吃饭付钱被面馆老板霸气拒收抱一抱】近日，救援队在青海民和灾区吃饭后要给钱，牛肉面馆老板霸气拒绝，用最刚的语气说最暖的话，“收你们钱我们成啥了！不收钱，全部不收钱！”
1695580039# #【大爷做饭睡着了醒来都是消防员】近日，天津滨海，大爷灶上做着饭，一时困意席卷便回屋睡着了，群众发现浓烟弥漫立即报警。消防员、民警赶赴，正在焦急之际，其家人赶到将门打开，消防员第一时间冲进屋内，将睡眼惺忪的大爷救出，所幸老人没有受伤。消防蓝朋友
1703088055# #消防员已营救甘肃地震被困人员78人地震的紧急避险指南，每个人都要知道！面对地震，应该如何紧急避险。戳图学习地震自救知识，关键时刻能救命！能救命！能救命！重要的事情说三遍！
1696627344# #【男子猛怼门把手被卡消防员上电锯】近日，浙江宁波，男孩猛怼门把手，不成想食指被卡进门把手锁芯中，无奈报警求助。消防员赶赴，这造型实在是清奇，蓝朋友拿出电锯，切割把手帮男子“恢复自由”~门把手：俺何辜~
1699432922# #浙里不上火【医疗机构如何进行消防安全管理】医疗机构是人员密集场所,一旦发生火灾,人员疏散逃生困难,容易造成严重的生命与财产损失。为确保医疗机构的消防安全应做到什么?中山二院苏士成正常坐诊
1689983408# #【男孩被困半山腰消防员攀山救援】近日，山东青岛，男孩独自上山玩耍，不慎被困半山腰。消防员赶赴，山壁陡峭，怪石嶙峋，救援人员做好防护措施，攀至男孩被困位置，缓慢索降，将其带回安全地带。
1701299149# #【消防员从反锁屋内救出个佛系宝宝】近日，吉林辽源，21个月大的小奶娃不慎把自己反锁在卧室出不来了，家长找不到备用钥匙，无奈报警，救援过程中，一直隔着门喊话孩子，生怕娃害怕，没想到开门瞬间小家伙相当淡定，不哭不闹在床上玩耍，看这神态相当“佛系”啊~消防蓝朋友
1695744108# #黑龙江消防快讯【司机车祸现场找手机消防暖心劝慰】近日，江西宜春，司机开车玩手机追尾大货车，车辆严重变形，司机被困。消防员赶赴，将司机救出。好在司机身体并无大碍，竟心大的还在找手机，蓝朋友暖心劝慰小心玻璃碎片扎伤，并将其领到路边。
1693844645# #【住宅建筑火灾预防常识】家中安装独立式火灾报警器，随手关上防火门，楼梯楼道勿堆放杂物，管道井按规定进行封堵，室内消防器材保证完好有用。记住这五点，安全伴您行
1695744076# #【国庆出行消防安全提示】你会怎么度过国庆假期呢？景色正好，外出旅游已成为人们的首要选择。但如果不注意安全，旅途可能会变成“囧途”甚至“险途”，这份消防安全锦囊，请收好↓↓消防小超人
1697483610# #【消防空降到眼前的一刻无助感消失】近日，贵州松桃，一男子上山采蘑菇，返回时因抄近道被困陡坡进退两难，鞋也不知道在什么时候蹬掉了，只好报警求助。消防员赶赴，利用绳索将其救至安全地带。提示：上山采菌注意路线安全，提前规划以免发生意外。
1698003083# #【跳河救人的白发大爷找到了！出差民警遇女子落水跳河救人】近日，江苏临近退休的59岁民警周锦万出差北京办案时，路遇一女子落水，他毫无犹豫跳入冰冷的河水里，成功将女子救回岸上。经过简单抢救，女子恢复意识，身体并无大碍。周锦万表示，自己是人民警察，见到群众水中遇险，想的就是一定要把人
1694127255# #【工人下井作业车轱辘把井口封印了】近日，天津滨海，一司机手法犀利，开着车一个寸劲儿将车轮卡入井口，而井下有位工人师傅正在施工作业，车主赶紧报警求助。消防员赶赴，询问井下工人确认身体无恙后，使起重气垫将车辆抬高，将工人师傅成功救出。网友：求师傅的心理阴影面积
1702397076# #【小伙实力证明消防科普是有道理的】近日，山西晋中，消防员组织居民开展安全知识宣传，科普现场演示起油锅起火如何处置，哪料其中一名围观的小伙突然想到自家油锅还在灶上，蓝朋友赶紧提起灭火器前去查看，好在并未酿起火情。网友：看热闹看到自己头上了~消防蓝朋友
1700953254# #【这小菜腌的一吃一个不吱声】来咯来咯，今天的蓝朋友为大家揭秘超下饭的爽口小菜是怎么腌制的~咱自己种的新鲜豇豆、爽脆的萝卜、有点儿辣的青椒，配上蓝朋友特调的料汁，通通放进玻璃缸密封起来，等上几天就能享受美味啦~腌小菜虽简单，但用心做也会有好味道~消防员的美食有多馋人
1698270434# #【栏杆刺穿男子身体119和120接力救援】近日，江西南昌，一男子在家中干活时不慎从凳子上踩空，整个身体被一旁铁栏杆刺穿，背部隆起，皮肤被钢筋撑得红肿流血，情况紧急。赶赴，用液压剪扩钳将铁门护栏的钢筋逐一剪断，救出被困男子并立即送往医救治。
1702656368# #【他们顶风冒雪训练只愿能护你周全】近日，山西阳泉，多地普降大雪，为应对极端雨雪冰冻天气可能出现的险情，看着蓝朋友顶风冒雪苦练救援本领，安全感满满。愿暴雪中的你平安
1700953161# #应急科普【电动自行车有话说，为何“火”的总是我？】近年来，电动车起火事故频发，成为火灾“重灾区”，给人们的生命财产安全造成威胁。关于电动车的安全知识，这些你不得不知道↓↓
1695845025# #【消防员买奶茶店员悄悄藏起收款码】近日，安徽淮南，两名消防员闲暇时间去奶茶店买饮料，店员默默收起收款码，并谎称店内做活动不要钱。拿到奶茶后，消防员迅速放下现金后离开。网友：店员和蓝朋友都好有爱啊~
1689553188# #【大型商业综合体日常消防安全管理】随着经济发展和城市化进程加快，集购物、餐饮、娱乐等功能于一体的商业综合体兴起，这些功能复杂的建筑体存在较大消防安全隐患，要加强消防安全管理工作，确保防火安全。
1691625503# #消防蓝朋友【湖州淡定哥“贪玩”被困坝中消防紧急救援】湖州市安吉县一淡定哥“贪玩”被困坝中，消防紧急展开救援，救援人员做好救援绳，抛向被困人员，然后将被困人员成功拉上岸。
1701643138# #【消防员一斧子劈开老人的求生路】近日，云南红河，一老人摔倒在家无法起身，由于房门也无法打开，好心路人见状只好帮忙报警求助。赶赴，抄起斧子紧急破窗进入房间，开门后将老人抬上担架送医救治。消防蓝朋友
1690675938# #天津暴雨【暴雨天气安全提醒】出行如遇大雨天气，怎样做才能确保平安？不同出行方式要注意什么？快来了解一下吧~蓝浙浙的微课堂
1700764863# #福吉说消防超话【杨紫提醒大家注意日常消防安全】中国消防宣传公益使者提醒大家关注消防安全。“平安没有看客，每一天你我都是主角。日常家中要安全用火、用电、用气，人离开要熄灭火源，出门时要关掉电源、气源”。预防为主，生命至上。杨紫妆造杨紫超话
1697654316# #辽宁消防超话【让一让！消防员的水陆两栖全地形车来了】见过这么多消防车，有没有见过的这辆水陆两栖全地形车呢？它可以在陆地上驰骋，也能在水里“乘风破浪”。是运送物资、转移被困人员的最佳帮手，在救援时“如虎添翼”。原来消防器材这么牛
1691704864# #消防蓝朋友温馨提示：生命只有一次，遇到火灾时要及时逃生，切莫贪恋财物逃生科普
1700150710# #晚安晚安爱你。不好意思开口但被民警秒懂。想你所想，急你所急。大家生活中也要注意消防安全哦～
1694216221# #比熬夜更耗气血的其实是玩手机【睡前玩手机】如今手机不离身是很多人的生活常态了，注意以下几点，对自己好对手机也好：1、手机充电时不要放在床铺、枕头、书籍等易燃物品的旁边。2、尽量不要彻夜给手机充电，人睡着了，手机也应该休息。3、充电时应尽量使用原装充电器，不要混用充电器、充电线。4
1698692935# #【他那么小但不影响梦想种子使劲生长】近日，江西吉安，蓝朋友归队途中偶遇一男孩，小小的他坐在电车车上，见消防车远远就举起手敬礼，目光注视车辆渐行渐远，这一刻世界仿佛都安静了，只有萌娃心里那颗理想的种子在努力生长～
1689375773# #【娃嘴卡沐浴露瓶盖小脸囧成表情包】近日，河南开封，萌娃洗澡时用嘴开沐浴露，不慎舌头卡沐浴露瓶盖取不下来了，家长无奈直奔消防站求助。话说娃委屈极了，小手拖着瓶盖囧成表情包，蓝朋友小心破拆帮娃脱困。消防蓝朋友
1699632119# #【消防从秋千里拔出被卡的成年男子】近日，浙江杭州，一男子路过公园时，看见秋千童心未泯便坐了上去，不料卡住屁股，无法出来，焦急报警求助。接警后赶赴，只见男子满脸尴尬地陷在轮胎中，蓝朋友一边安慰一边将其顺利救出。
1704384059# #立体化安全宣教科普栏——【景区游玩安全注意事项】近日，不少游客前往哈尔滨一览冰雪风光，从“冰雪大世界”到“澡堂”文化，热闹非凡。消防提示：外出游玩也别只顾着埋头做攻略，在玩耍观赏美景时，切莫忘记消防安全！戳图！
1696176126# #【老伴神助攻救了厨房和灶上的肉】近日，天津滨海，73岁大娘灶上做着饭出门，结果被锁门外，焦急报警求助。消防员赶赴，此时大娘老伴儿及时赶回，拿钥匙将门锁打开，所幸锅里还有些许汤汁，蓝朋友检查确认无危险后离开。提示：厨房用火不离人。消防蓝朋友
1703520238# #【消防员在雪场高空索道救援泰酷辣】近日气温骤降，天气寒冷，为全力做好冬季极寒天气突发救援，成都大邑救援大队索道模拟游客被困，开展高空救援演练。只见蓝朋友他们已经操作熟练，在钢索上也临危不惧，穿上保护装置只觉得安全感满满，一步步的操作将“被困”人员送回地面。ps：无数次的训练，只为
1699566529# #辽宁消防超话全国消防宣传月消防安全无小事，时时处处需留心。学习掌握安全常识，养成良好习惯，防范于未“燃”！晚安！晚安
1691704845# #【电瓶充电间起火仅3秒猛烈爆燃】8月7号，天津和平区一电动车电瓶充电间突发爆炸起火，从最初的单个电瓶爆炸到猛烈燃烧仅仅过去了3秒！所幸室内安装了超细干粉自动灭火装置，扑灭了部分明火，消防蓝朋友到场后利用排烟机及水枪进行排烟降温，并将电池内部隐藏明火扑灭。
1700688084# #国产羽绒服卖到7000元冬季寒冷羽绒服是很多人御寒的首选，但你知道吗，羽绒服其实也有安全隐患！为什么机洗羽绒服会爆炸？让我们一起来看看下图↓
1692470853# #黑龙江消防快讯【老人野钓被困河道消防架梯救人】近日，吉林辽源，一头发花白的老人独自前往河边野钓，所选位置周围无路，需沿着一旁高墙爬下到河边，钓尽兴后准备回家时发现体力不支，无法攀墙返回，报警求助。消防员赶赴，架设拉梯将老人救回安全地带。
1702397086# #【800斤壮牛遇温柔消防也得变哈基米】近日，湖北黄石，一头重约400公斤的母牛不慎陷进泥坑，牛主人施救无果，无奈之下报警求助。赶赴救援，由于母牛因不断挣扎已累得没了力气无法配合，蓝朋友只好暖心地先喂牛吃些草，一边抚摸牛头温柔劝慰“吃些草才有劲起来”，最终，补充好体力的母牛努
1703088105# #辽宁消防超话小伙收到一条信息4个月狂减30斤善良就似一盏明灯，照亮别人的同时，也会照亮你自己。只要你一心向善，最终善意也会向着你。晚安！晚安
1695845116# #平安亚运你我同行浙里不上火【外出游玩不忘消防安全】中秋国庆假期即将来临，外出旅游入住酒店时，一定要留心安全出口的位置，查看安全疏散图，做到处处留心消防，才能在发生火灾时有序撤离火场。十一旅行计划是感受祖国温度
1691783214# #【快乐暑假安全同行】夏季是溺水的高发期，很多人都想去游泳、玩水，以此来消暑降温。哈尔滨提醒大家要牢记防溺水知识。请勿私自去危险水域游泳，注意防范溺水，不做孤“泳”者！更要珍爱生命，拒绝野泳。
1688166219# #【办公室消防安全提示】办公室消防安全别开小差~办公室用电设备多、人员集中，防火千万不能大意，安全第一！办公室每天都在上演冰火两重天
1698941020# #豫见火焰蓝超话【网吧消防安全注意事项】网吧是人员聚集的地方，常常存在很多消防的隐患，为了避免发生火灾事故，应该注意以下一些消防安全注意事项：
1691108127# #【民房火灾消防安全知识】民房火灾为什么频频发生，排查家中火灾隐患避免群死群伤悲剧，以下民房火灾消防安全知识一起学起来！
1700009174# #【大娘为追小鱼手卡便池消防秒救人】近日，湖南株洲，居民在卫生间收拾刚买的新鲜活鱼，哪料鱼儿想要“自由”一个不注意跃进一旁的厕所便池，大娘眼疾手快伸手抓，不料被卡便池内动弹不得，放我自由多好～
1702763487# #【睡前玩手机到底有多伤眼】现如今，手机成为了大部分人生活中不可或缺的一部分，无论是白天的日常使用，还是深夜的娱乐消遣。与此同时，屏幕对眼睛的伤害也接踵而至，如蓝光造成视疲劳、暗光屏幕刺眼、以及频闪损害视网膜......那如何才能减轻睡前玩手机的危害呢？戳图片解锁↓
1700150769# #【楼内起火怎样逃生最科学】山西永聚煤业火灾已致26人遇难楼内突发起火，是选择固守待援还是开门逃生？如果起火点在楼上，且走道和疏散楼梯间无烟无火，可以迅速向下逃生；如果起火位置处于同层或是楼下，走道和疏散楼梯间有大量高温有毒烟气时，千万别盲目逃生。点击视频，认真学习！
1693349623# #辽宁消防超话【两男孩坠崖40米消防深夜下崖救援】近日，湖南衡阳，两男孩深夜坠入40余米悬崖，身体受伤，情况紧急。消防员夜幕下赶赴，做好防护后，携带救援担架索降，依次找到两名男孩，经过三小时的紧张救援，将二人带回安全地带并移交给现场医护人员救治。消防蓝朋友
1695844992# #【消防员直面烈火架水枪奋力扑救】近日，贵州铜仁，一辆快递货车起火，现场浓烟滚滚，火势猛烈燃烧。消防员立即赶赴现场，远远望去火光成片，立即设立警戒区域，随即铺设水带，设置两支水枪进行扑救。经过半小时的处置，明火被扑灭。消防蓝朋友
1693437801# #龙龙今日科普【知识点！夏季加油别太满】对于不少车主来说，给车加油时随口一句“加满”是再平常不过的事儿了，有人甚至在跳枪后，还继续往油箱里加油。可是炎炎夏日，油箱加得太满，真的会很危险。戳视频，一起来看个实验了解一下。
1691367616# #【工人遇马蜂攻击昏倒被困近百米高空】近日，安徽六安，工人高空作业时遇马蜂，无处躲避被马蜂蛰伤倒地不起，意识模糊，情况危急。消防员赶赴，穿上厚厚的防蜂服慢慢靠近被困者，为其做好防护后将其平安救下。提示：高空作业时，一定做好防护，如遇马蜂千万不要惊慌驱赶。
1702483801# #【烧炕不慎引火整个屋子烧通红】近日，辽宁鞍山，一民房因烧炕无人看管引发火情，冬季寒冷干燥，用火、用电、用气也随之增加，一定要注意消防安全！消防蓝朋友
1698517463# #【工人被困深井消防轮番涉险救人】近日，湖南衡阳，男子井下作业被困，消防员赶赴救援。因井深约20米，井口宽度不足80公分，底部约有半米深积水，且井下空间狭小，操作难度大，两名救援人员携带设备先后下井，不断尝试多次努力，最终将被困人员成功营救上岸并移交给现场医护人员救治。
1695744096# #黑龙江消防快讯【老人失足坠深塘家人苦寻一夜求助消防】近日，安徽宿州，一老人失踪整夜，家人苦寻不料老人失足坠入深塘中，身体受伤，动弹不得，家人焦急报警求助。消防员赶赴，架设拉梯下到深处，将老人抬上救援担架带回安全地带。网友：愿老人平安！
1696538802# #【为亚运加油的同时别忘消防安全】亚运赛场激战正酣，运动健儿奋勇拼搏。中国女篮vs日本女篮中国女篮冠军场内外气氛非常热闹，网友直呼被亚运会的氛围可爱到了。那么，不知你注意到没有，亚运会场馆中有很多灭火器等消防设施，他们在发生火灾的时候能第一时间启用，这些灭火器材你会使用吗？
1693955363# #昆明消防【消防员纵身一跃救下了他和牛】近日，广东茂名，受台风带来的强降雨影响，一男子放牛归来突遇涨水不慎被困河道中央，眼看水位越涨越高，男子一筹莫展只好报警求助。消防员赶赴，纵身一跃跳进湍急河流中，到达被困人员身边为其穿戴好救生设备，一路护着返回安全地带。
1699433035# #【立冬这天看消防员比赛有多飒】今日立冬，冬天到来的第一天，第二届全国消防行业职业技能大赛正式开赛。在初冬的南京，梧桐大道层林尽染，消防能手屏息开战，遇见一场较量，应战一场较量，加油！
1696435305# #【消防员救了只身像猴实为鼠的动物】近日，云南大理，消防员接警天池保护区路旁的铁丝网有一只野生动物被困。消防员赶赴，这家伙长相还真特别，瞪着萌萌的大眼睛很是机警。经鉴定，它是国家“三有”动物，霜背大鼯鼠。蓝朋友小心操作，帮其脱困。
1698002984# #【这一路有消防员在老人走得很踏实】近日，江西赣州，一位老人独自外出过马路，周围都是穿梭的车辆十分危险。归队途中的有蓝朋友在的地方就很安心~
1703895321# #【云南消防辟谣上门推销360元灭火器】近日，云南红河，两人以消防培训、检查等名义，沿街向商户销售高价消防器材。一商户察觉不对劲拨打119报警，赶赴，在一家饭店遇见了正滔滔不绝推销360元灭火器的二人，随后民警依法将其带回派出所进一步调查处理。骗子上门推销商户反手就打了119
1693437769# #辽宁消防超话全民素养提升v计划【暑期结束你收获秋季平安果了吗第二期】暑假结束，同学们的暑假作业都写完了吗？之前学习的消防知识，同学们还记住多少？今天，蓝朋友走进校园看看娃儿们的消防知识还剩下多少～思考
1696801439# #黑龙江消防快讯【被卡脚娃的可爱表情萌到了】近日，天津静海，萌娃钻进橱柜里玩“躲猫猫”，不慎脚卡木板缝隙，家长施救无果后报警求助。消防员赶赴，只见娃无助又无奈，笑得好害羞，还有点拘谨，蓝朋友生怕娃疼，一边碎碎念哄娃一边帮娃脱困。被救出的娃对蓝朋友报以微笑，小样子可爱极了。ps：
1698451465# #【警铃响消防员食堂上演一秒消失术】近日，江西萍乡，蓝朋友正在食堂吃午饭警铃却响了，顾不上饭菜，连筷子都没动一下便奔向消防车跑去。前后用时仅30秒，他们已经坐在出警消防车上。ps：吃饭时出警、睡觉时出警、洗澡时也会遇到出警……警情随时可能发生，他们也在时刻准备着～消防蓝朋友
1698270494# #黑龙江消防快讯【老人推电车入户充电自燃致电池爆炸】近日，湖南湘潭，六旬老人将电车停放在室内充电，不料电车突发自燃，电池多次爆炸，情况紧急。消防员赶赴，远远望去黑烟弥漫，火势熊熊，救援人员立即架设水枪将明火扑灭后，近距离将车内火苗彻底熄灭，但车子已被烧成钢架。提示：电车切勿进
1698105269# #【休假消防员救人不留名家属找来了】近日，黑龙江双鸭山，休假消防员任双在坐车回家的路上，突遇一乘客摔倒昏迷，嘴唇青紫、口齿紧闭，检查发现是被异物卡住口腔。任双立即采用海姆立克急救法施救，约5分钟后，男子逐渐恢复意识，吐出异物。男子家属多方打听，找到消防队送来锦旗，队友们才知道这件
1698890375# #王一博超话【与王一博一起关注消防安全】预防为主，生命至上。11月是全国消防宣传月，让我们一起关注消防，用行动防范火灾，守护美丽家园。全国消防宣传月王一博呼吁用行动防范火灾
1694378434# #【萌娃头被卡个结实还想着翻白眼呢】近日，江苏南京，小姑娘思路清奇一头钻进椅子坐垫与椅背中间缝隙，奈何钻进容易钻出难，小脑瓜被卡进退不得，家长施救无果报警求助。消防员赶赴，娃倒是淡定得很，撅着小屁股跪在地上超乖，蓝朋友护其头部后小心破拆将娃救出。网友：这娃能沉得住气，是个干大事的
