1687658389# #本来是一个温馨的场面，没想到……我拿你当兄弟，你却想占我便宜允悲消防蓝朋友
1691019800# #南京4名中学生下河游泳溺亡【预防溺水安全提示！】炎热夏季不少孩子喜欢游泳戏水来降温避暑，儿童溺水事故也进入高发季…“防溺水”必修课已送达，帮孩子培养避险意识、掌握自救方法才是应对危险的万全之策～
1696286636# #【消防员画最美烟熏妆唱最动听的歌】国庆假期，山东济宁，蓝朋友出警完成了灭火战斗，放松下来的他们，虽然脸上各个都有着“最美烟熏妆”，但大家不约而同的唱起歌来，看得人破防。国庆我在岗，守护万家灯火。网友：最动听的歌～
1690244417# #【送人玫瑰手留余香大概就是这样吧】近日，湖南郴州，蓝朋友外出宣传，偶遇小萌娃求助自己的玩具飞机挂在树上拿不下来了。蓝朋友找来长杆子帮娃将飞机取下，看着小家伙致谢的样子也太治愈了~ps:别客气，举手之劳啦~消防蓝朋友
1693349572# #【男子拎电瓶回家充电致爆燃烧家】近日，广东惠州，男子将电瓶车电池带回家中充电，凌晨时分，电瓶爆燃起火，火势迅速蔓延烧破水管，男子听到异响后报警。消防员赶赴，将火扑灭，但屋内墙体已被熏黑。提示：电动车和电瓶都严禁入户充电。消防蓝朋友
1695946974# #【少年放下水果就跑消防都来不及追】近日，湖南郴州，两名少年拎着两个大袋子来到消防站门口，偷偷放下，还没等蓝朋友反应过来便一溜烟小跑离开了。蓝朋友呼叫队友查看，原来是少年送来的暖心水果。ps:谢谢少年，不过跑得太快，练习册都来不及送~
1688349636# #【消防员浓烟障目中疏散11名被困群众】近日，安徽宣城，一居民楼厨房着火，现场浓烟呛鼻，楼内还有住户。消防员赶赴，立即对楼道内人员进行疏散并架设水枪对准起火点，经过紧张救援，最后成功疏散楼内11人并将火势扑灭。
1693515892# #【消防员一路飞跑赶去帮老人推车】近日，广东广州，消防员出警归途偶遇一位年迈老人。喧嚣的闹市，老人佝偻着身子，拉着一车杂物艰难爬坡，看得人眼眶发热，蓝朋友立马下车，飞奔过去暖心帮老人推到目的地。ps：护了一段路，温暖一份情，愿老人顺遂~
1688251944# #【电动摩托车自燃周围30辆车烧成空壳】近日，广东阳江，一辆停放在路口的电动摩托车发生自燃，并引燃停放在旁边的三十多辆摩托车。火势已逐渐蔓延至周边楼房，有三家商铺外墙装修及多台空调外机被烧毁。消防蓝朋友
1703031692# #转发微博
1694720371# #【女孩骑车手被刺穿消防喊话相信我】近日，四川泸州，一女子骑共享单车时不慎摔倒，情急之下去扶路边停靠的货车，手掌被货车上的插销刺穿，疼得让人揪心。消防员赶赴，见女子情绪激动，大声喊话“要相信消防员”，小心切割帮女子脱困并移交给医护人员救治。
1689463695# #【夏季空调使用安全】夏季炎热，空调带来无限清凉，但每年夏天，空调着火事故频发。空调着火的原因虽然很多，但只要平时从细节防范，安全使用，火灾就可避免。高温天气如何预防空调起火呢？赶紧来学习一下吧！
1695845007# #【中秋将至给没吃月饼的来个惊喜吧】中秋将至，日常训练中，压在水带上的蓝朋友由于水枪压力过大，一不小心致水花呲出四散，负责拍摄的摄像员妥妥“中招”。摄像：所以这是给还没吃月饼的我发个惊喜吗？蓝朋友守护团圆
1694889592# #【如何做好家庭逃生演练？】掌握在危险中快速逃生、自救、互救的基本方法，可最大限度降低危害，点击观看原创科普动画，学好知识，有备无患！应急科普
1703629249# #为了您和家人的安全请自觉保持消防车通道畅通！↓↓↓
1699632109# #【被困位置再险消防也会飞檐走壁救你】近日，安徽蚌埠，一名工人在高空作业时因坐板一侧安全绑带断裂，被困40米高空，情况十分危险。火速赶到现场，“飞”到被困工人身边，利用固定安全保护绳将其拉至楼顶安全地带。
1702834396# #【低温大风预警齐发如何预防森林火灾？】林区树木众多，聚集了大量可燃物，遇明火极易引发火灾。冬季大风天气增多，植被草木干燥，火险等级持续偏高，如何预防森林火灾发生？戳↓↓↓冬季防火千万别放松（广东省广州市应急管理局)
1704384037# #【睡觉时遇地震就这样做保护自己】地震来临了怎么办？快听听蓝朋友在线科普！如果在睡觉时，可以顺势抓住枕头被子滚下床，让地面与床形成保护区域，同时用枕头和被子保护好头部和身体，减少被砸伤的几率……更多知识，戳视频学起来！希望用不上，但一定要知道！消防蓝朋友
1702336823# #【三学生相约骑车不慎坠悬沟被摔骨折】近日，广东广州，三名学生夜晚结伴骑车，不想视线不佳，坠入悬沟，身体摔伤，动弹不得。赶赴，立即架设拉梯到达被困学生附近，小心翼翼抬上担架，将其固定后，抬至安全地带并送医救治。消防蓝朋友
1687216146# #【男子被卡角磨机消防破拆解困】6月17日，金华武义一男子左腿被卷入角磨机的齿轮，急需消防救援。经过消防救援人员的处置，约十分钟后角磨机被取下，医生随即对伤者进行救治。消防部门提醒：工人作业时，应严格按照操作规程，同时佩戴安全护具，以免发生意外。
1703088093# #【把握地震后的黄金救援时间有多重要】你知道地震救援中的黄金72小时吗？国际救援界认为，震后24小时内救出的被埋压人员救活率可达90%，48小时内救活率为50%至60%，72小时内救活率为20%至30%，因此在震后72小时内迅速组织救援，能让更多的生命存活，但72小时并非绝对分割线，当灾难来临时我们要坚信
1700953173# #【老汉家中成堆废品起火险些烧毁家】近日，山西运城，一老人家中废品突发起火，接警后紧急赶赴，只见老人院中废品堆积如山，由于可燃易燃物居多，此刻正猛烈燃烧，火光窜上屋顶，冒出滚滚黑烟。消防员立即出水，好一番努力后扑灭了大火，只是老人院中已狼藉一片。消防蓝朋友
1692125162# #湖南6名小伙在海浪中救出6名溺水者【这些是你一定要知道的防溺水指南】8月13日，广东省一海滩，湖南小伙张汉城、唐聪、伍太郎、刘涛、王同坤、蒋吉林在海边玩耍。突然听到岸边有人呼救，只见海岸30米外有6个人在海浪里不断挣扎，被浪头越冲越远。他们立即冲过去，尽全力把他们救回岸边。防范溺水是
1699838853# #【收藏！6组动作瘦肚子】反向卷腹、腹部激活、空中蹬车…消防员教你瘦肚子↓↓坚持练下去，一起动起来吧！
1703373790# #【消防员救被卡女子竟见证爱情】近日，山东济宁，一女子操作机器不慎将手卡入，报警求助。这就是爱情的样子！
1699839692# #【被火调犬认真工作的样子卷到了】火调犬作为消防工作的重要组成部分，近年来因为其出色的表现也渐渐进入到人们的视野。近日，在对一起民房火灾开展调查时，动用了这一“秘密武器”。没想到平时看起来呆萌的消防犬大奔，工作时居然这么帅气
1697061433# #【警铃响即便入睡消防员也会来守护】近日，江西南昌，监控记录下消防站平凡又忙碌的一天。警铃一次次响起，晚上十一点之前尽量入睡，但对于蓝朋友来说，无论深夜还是凌晨，他们总是在人们需要的时候守护着。
1688778288# #黑龙江消防快讯【这蜜蜂把巢建得还怪隐秘哩】近日，山东济南，勤劳的小蜜蜂不走寻常路，把家安在了路边井盖下。消防员赶赴，精准定位上演一窝端，最后轻松摘除蜂巢，还附带收获了满满一兜子甜甜的纯蜂蜜。
1694127398# #辽宁消防超话【第一视角看搜救犬训练有多威猛】别眨眼，今天带大家第一视角看消防搜救犬障碍训练有多酷，攀爬高架，穿越障碍，在消防奶爸的一声声指令中，小家伙毫不畏惧，勇往直前，也太威猛了~ps:给无言小战士点赞~消防蓝朋友
1691367612# #【消防员打扫时突然练武】近日，湖南株洲。消防员打扫时突然“练武”，不料扫把突然断裂！是武艺高强还是扫把太脆弱？班长：你打扫完给我去跑五公里！
1700237126# #【山西永聚煤业火灾已致19人遇难】据新华社消息，记者11月16日从国家矿山安全监察局山西局了解到，16日7时许，吕梁市离石区永聚煤业有限公司地面联建楼发生火灾，已致19人遇难，现场救援仍在紧张进行中。起火原因有待进一步调查。火场逃生知识，戳下图了解↓↓冬季防火千万别放松
1696538833# #【炉灶起火怎么办】炉灶突然起火该怎么迅速扑火？一盖盖儿，二关火，除此之外还应注意的是，盖锅盖要从锅边滑行盖上，不要扣上去，防止火苗四窜伤人；放入切好的蔬菜或灭火毯覆盖也可以灭火；经常清理抽油烟机，防止着火后火苗顺着油污蔓延；定期检查燃气管道……戳视频，了解更多知识~
1698768123# #【醉汉梦醒漂河中消防紧急下水营救】近日，辽宁辽阳，男子醉酒后走路打晃，一个没注意不慎跌入河中，周围群众见状赶紧丢下去个救生圈并报警。消防员赶赴，在无人机的协助下，将男子成功营救上岸。ps：喝酒还是适度为好
1690160468# #【有一种安全感叫消防员来救我了】近日，山西长治，一高速路口发生事故，两车相撞，车门变形车身损毁严重，其中一辆车的司机被困驾驶室，腿部卡住、脸上和身上都是鲜血，报警求助。消防员赶赴，司机伸手紧紧拉住消防员，消防员一边安抚一边动用工具破拆车门，将其救出。消防蓝朋友
1689293717# #【上班虽累防火别忘】对于我们“打工人”来说，办公室就是我们的第二个家。办公室通常人员密集，且存在较多诱发火灾的因素。办公室防火要注意这些↓
1696538790# #【被娃这句大丈夫流血不流泪暖到了】近日，江西南昌，男孩教室玩耍时不慎手指被卡进门锁，老师无奈报警求助。消防员赶赴救援过程中，一旁同窗暖心安抚，直呼“大丈夫流血不流泪”，还温柔地帮其捂住眼睛。最后，救援人员剪切门锁圈口，帮娃脱困。
1688953586# #【蛇蛇这一天的经历波澜起伏的】近日，浙江杭州，大桥下有蛇被困废弃渔网，群众发现报警求助。消防员赶赴，是抓蛇也是救蛇，小心剪断缠绕的渔网后，直接将这条王锦蛇装袋带走，最后送至无人处放生。
1700009221# #男子上厕所时马桶突然着火高端大气上档次的智能马桶，带给人们不少舒适与方便。但要是在舒舒服服地上个厕所时候，一不小心就“火烧屁股”了，那该怎么办？
1703088127# #12岁女孩遇浴霸起火冷静自救【12岁女孩洗澡浴霸起火冷静处理：迅速关闭电闸，冷静报警】近日，湖南株洲。12岁女孩在家中洗澡时浴霸突然起火，于是迅速关闭电闸，冷静报警等待消防员的到来。所幸小女孩利用学到的消防知识及时报警，讲明着火地址、着火物质等，加上消防员很快控制火势，火灾未造成人
1703285786# #【搜救犬拼命救人后又收到哄娃任务】青海海东，一头搜救犬在完成所担负的废墟搜救工作后，被训导员领到了临时安置点。孩子们把搜救犬团团围住小心抚摸，消防员叔叔生动地讲起小家伙的英雄故事，引得娃们“哇”声一片。展示过技能后，搜救犬又充当起“合影道具”，陪小朋友们在镜头前留下一张张可爱的
1703285797# #【消防员在零下16度气温下抢出暖炉】甘肃临夏，地震已致127人遇难，救援现场消防员正在抢救物资。伴随着夜幕降临，当地气温已降至零下16度，为保障震区群众取暖，消防员从废墟中抢救出“火炉”，送去温暖，送去“希望”。ps:这是份“特殊”的抢救，让我们一起为甘肃加油青海加油～
1703779343# #【零下10度灭火消防员冻成行走冰雕】近日，山西太原，零下十几度的北风刮得人刺骨的冷，灭火消防员在极寒冬日连续奋战。水枪喷出的水扑灭了大火，也给消防员换上了独有的冰铠甲，拿着热水的手止不住的颤抖。只是那满身冰霜，掩不住温柔笑靥，遮不住滚烫的心。ps：不管炎炎夏日还是数九寒冬，蓝朋友一
1704040426# #跨年【新年快乐！】钟声敲开新的起点，烟花绽放出又一轮四季，新年零点亦是幸福起点，感谢有你陪伴心~祝你新年快乐！太开心太开心
1698595256# #【怀孕母牛满眼感激地看着消防员】近日，云南大理，一头重达1000斤的怀孕母牛不慎跌落废弃矿洞，牛主人无法自行救出遂报警求助。消防员赶赴，只见这大家伙四肢陷在土里，表情十分无助，救援人员赶紧下到洞中，努力挖开周边沙石后，利用绳索和挖掘机将母牛成功救出。
1703285824# #【这场救援他们脚上的泥巴就没干过】12月21日，青海海东，震区救援的消防员席地吃饭，他们的鞋子、裤腿上沾满湿漉漉的泥巴。救援工作昼夜不停分秒必争，为了节省时间，哪管得这脚下淤泥身上的疲惫。网友：看得好心疼，辛苦了！消防蓝朋友
1698768151# #【坚持这几个动作晚上有个好睡眠】蓝朋友带着你健身打卡啦跟着蓝朋友一起健身打卡一组动作，燃脂同时养成健康体魄！戳视频~跟着蓝朋友一起练起来，坚持这几个动作晚上有个好睡眠~
1688166350# #【小车突发自燃众人逆行救援】近日，浙江嘉兴，一小车在路上行驶时突然发生自燃，后方车辆鸣笛提醒，热心群众提着灭火器前来帮忙，成功将火扑灭。正能量计划
1697329162# #全国消防搜救犬比武在山东拉开序幕，天津消防参赛搜救犬“还行”在第一天上午的箱体搜救科目比试中获得了优异的成绩！还行是一只刚刚一岁半的马里努阿犬，性格外向活泼，喜欢粘人，但在训练时状态极佳，工作时同样干劲十足。为小还行点赞！回家奖励加餐！
1694549085# #【网红拍视频被困船坞消防搭建绳桥救回】9月11日，四川遂宁，两名本地自媒体创作人在拍视频过程中突遇涨水被困船坞，河水湍急无法返回，对现场进行勘查后，消防员利用绳索搭建一条绳桥开辟出救援通道，经过三个小时的营救，成功将两名男子救上岸。蓝朋友的警告汛期尽量不要在水边逗留，以免发生意
1699896219# #【转发收藏！蓝朋友的这4个减肥动作狠不狠】冬天最狠减肥法减肥好像是大家永恒的话题，无论春夏秋冬总有人担心自己是不是又胖了还是哪里的肉多了。蓝朋友可要说一句，无论如何，减肥的最好方法永远是运动。科学健身，量力而行！教你一套动作轻松甩掉大肚腩，坚持练下去，保持健康好身材~
1697927553# #【消防从便池中捞出老太救命钱】近日，河南南阳，老太不慎将给孙子治病的2000多元医药费掉入病房便池中，心急之下报警求助。消防员赶赴，一边安抚老人情绪一边动手将现金打捞出来。清点完一张不少的“救命钱”，老太激动地让消防员拿点“辛苦费”，蓝朋友连连摆手“我们救援不收费”。网友：被这双向
1693349551# #【爸妈必看！儿童安全无小事】家长要随时看管好自己的孩子，切忌让孩子离开自己的视线！窗户无护栏、地面湿滑、药乱放…儿童安全潜在威胁你都知道吗？转发提醒家长！2岁男孩走丢告诉民警我爸爸叫妈妈妈妈叫爸爸
1691454562# #消防蓝朋友萌娃参观消防站，抱着水枪不撒手，还有直接冲进水里撒欢儿......好开心太开心全民正能量
1697841427# #特斯拉车主高速多次别车被刑拘【行车安全无小事！司机必备的安全驾驶指南！】出行一定要注意行车安全哦！养成良好的驾驶习惯，行驶前检查车辆状况，行驶途中严格遵守交通法规。江西应急管理提醒您，为自己和他人的安全着想，请注意每个驾驶细节，加强安全防范！
1695072560# #【持续灭火8小时他们抽空啃了口面包】近日，天津滨海，一废品站堆放的杂物起火，消防员接警后赶赴。连续奋战8小时后，消防员的体能消耗巨大，火势转微，他们匆匆啃两口面包充饥，同时也没有放下手中端着的水枪，短暂补充能量后继续奋战直至扑灭大火。网友：辛苦了蓝朋友！消防蓝朋友
1699895828# #【大型演出活动消防安全指南】演唱会、音乐会，各大演出盛会每周都有，在娱乐的同时，安全可不能放松，川川提醒大家：人员密集场所，参加大型演出活动消防安全不要忘记哦~五月天上海演唱会
1687733692# #【通过旋转门时家长千万要看护好孩子】近日，山西临汾，小女孩经过电动旋转门时，不慎被卡住手臂，路人发现及时喊人关闭按钮。消防员赶赴，用力扒门扩大缝隙将娃救出，并暖心将娃抱上消防车，一路疾驰送娃就医。
1692044628# #豫见火焰蓝超话消防设施常检查，确保器材要完好。消防蓝朋友
1700499934# #女孩裙摆夹电梯受困被剪掉后爽朗大笑乘坐电梯的时候一定要注意安全哦！你知道消防电梯吗？
1695246024# #【玩手机的正确姿势是什么】当前手机已成为日常生活中不可或缺的电子产品，但你知道吗？小小的手机也可能成为火灾的诱因！戳图学习玩手机的正确姿势～
1690499780# #【高温天谨防热隐患】夏季温度高、湿度大，细菌繁殖迅速，食物容易腐败变质。预防食物中毒有哪些注意事项？高温天气还要防范哪些“热”隐患？戳图了解↓↓
1703189542# #【转发收藏！4个动作消灭大肚腩】贴冬膘了吗？来来来，不是自觉自愿贴上冬膘的小伙伴举个手，蓝朋友教你4个动作，先甩掉大肚腩。抓紧练起来，科学健身、保持健康～跳绳减肥跟蓝朋友一起健身打卡
1696971596# #【当他快撑不住时消防员飞奔来救援】近日，天津西青，男子手被卷进绞肉机死死卡住，眼见血肉模糊却无法取出，焦急报警求助。消防员赶赴，立即拿出工具展开救援，男子因疼痛直呼“撑不住了”，救援人员一边安抚一边加快手上动作，在医护人员的配合下，助男子脱困。ps：使用绞肉机时千万要小心啊~
1692044560# #【预防家庭火灾务必做到“三清三关”】要注意，不论是出门游玩，还是在家，消防安全要时刻牢记～戳👇视频，看家庭防火“三清三关”安全科普～山东消防的微博视频一个人住真的很爽
1700688121# #辽宁消防超话【女孩捡手铐戴着玩父亲领来消防站】近日。天津，10岁女孩捡来一副手铐，戴在手上把玩，解不开了，父亲焦急带到消防站求助。蓝朋友仔细观察，这手铐还真结实，救援过程中，一旁亲爸不停吐槽，实属血脉压制啊，最后蓝朋友破拆帮娃脱困。消防蓝朋友
1702376007# #转发微博
1692296964# #【男子骚扰前任119和110都上门了】近日，天津西青，一男子醉酒后骚扰前女友，谎称女友失联报119寻求破门，女子害怕同时在屋内拨打110。消防员、民警赶赴，途中叮嘱女子“先别开门”，到场后发现男子情绪激动，霸气呵止男子过激行为，一直将其挡在门外，并了解实际情况后，对男子进行劝说。
1697654339# #【大风降温天防火记心间】大风降温天，要及时添衣谨防感冒，同时也要注意日常生活和工作中的防火安全！戳下图↓↓了解大风降温天的消防安全知识！
1692737309# #黑龙江消防快讯【消防员的七夕祝福谁还没查收】蓝朋友的土味情话来咯。“我一天只守护你一次，一次就是一整天。我扛得动煤气罐，却扛不动想你......”戳视频，听听蓝朋友还说了啥~ps:不管哪一句，守护你们的心不变，愿所有人
1690160498# #消防蓝朋友消防队里“哇”声一片，原来是蓝朋友与同学们玩起了水枪，欢笑声都快溢出了屏幕~全民正能量
1699757084# #浙里不上火仓储物流场所安全提示话筒一觉醒来双十一结束了
1700582491# #【待救醉汉大吼朋友麻烦消防员干啥】近日，四川成都，男子醉酒不慎掉进水沟，朋友见状报警求助。赶赴，只见男子尚未酒醒，一脑门问号“谁给我整沟里了”。看着眼前的消防员，男子更是疑惑，直问朋友“麻烦人消防员干嘛”。男子怪客气，一直拒绝消防员下去帮忙，好一番“谦让”后，男子终于
1695245973# #【工人井下昏迷消防钻超窄井口救人】近日，辽宁铁岭，两名工人下井作业时因缺氧昏迷被困，消防员接警后赶赴。由于井口十分狭窄，且被困人员昏迷无法动弹，救援人员做好万全准备，先后两次下井将其平安救出并送医治疗。ps：工人作业勿忘安全二字~
1700430228# #【地震来临时如何科学避险】中缅边境发生地震地震随时可能发生，掌握科学避险方法和逃生技巧，有助于减轻灾害带来的意外伤害。以下这些地震逃生常识，要记牢！
1688079807# #【奶牛吃草夜不归宿竟是掉进泥潭出不来】近日，新疆玛纳斯，奶牛吃草彻夜未归，牛主人担心寻找才发现原是掉进泥潭出不来了，由于奶牛块头实在是大，自己拽不出来无奈报警。消防员赶赴，开启拔河式救牛，最后成功帮牛奶脱困。
1693844696# #【车陷泥坑过路消防员暖心相助】近日，陕西榆林，蓝朋友出警归队途中遇一深陷泥地的SUV，二话不说赶紧停车下去帮忙。了解发现由于近期下雨频繁导致泥土松软，司机尝试多次仍未将车辆驶出泥地反而越陷越深。最后，蓝朋友用牵引的方式将车成功拉出泥潭。网友：蓝朋友真是随时随地在帮忙啊~消防蓝朋友
1690934510# #防汛抗旱进行时【暴雨洪水后，这些需要注意！】暴雨洪水除了会带来泥石流、滑坡等灾害，还会污染水源和引发传染病疫情。因此，身处洪涝区的每个人，即便洪水退去，对待次生灾害也不可掉以轻心！洪水过后要注意哪些事项？一起戳图学习↓
1695485064# #【大学生宿舍玩火消防顺网线抓包】近日，重庆，大学生无聊在寝室花样玩火，还把视频发布到网络平台上，引起了重庆消防的注意。消防员顺着网线找到了这两名学生，对其进行了严肃的批评教育，学生也表示认识到了错误。提示：在宿舍内使用明火非常危险，请同学们引以为戒！
1695947001# #【消防员抓了只要喝奶茶的果子狸】近日，湖北咸宁，果子狸也想尝“人间美味”，寻着甜味溜进奶茶店，想品品是啥滋味，店主发现报警求助。消防员赶赴，只见小家伙躲在墙壁夹角处，蓝朋友快狠准一招制敌，将其捕获交由相关部门。果子狸：看来奶茶喝不得啊～
1687993375# #黑龙江消防快讯【泥石流救援现场消防员以肩为梯救出被困老人】6月27日，四川汶川，山洪泥石流灾害救援现场。峭壁之上，消防员以肩为梯救出被困老人，一句“我背您，踩住我”，朴实的话语里却传递出安全感满满。
1701204242# #有限空间内作业环境复杂，一旦防护不当，容易发生事故。火灾、爆炸、有限空间中毒窒息，若发生事故，非常危险，有限空间作业事故救援还有哪些注意事项？戳图了解↓黑龙江双阳煤矿发生事故
1702570870# #辽宁消防超话辛苦了！心谢谢有你雪中坚守致敬坚守，更是一份暖心提醒：请一定要注意保暖、注意安全！晚安！天津停课雪天出行注意安全！
1701812991# #辽宁消防超话【男子冰面抄近道落入冰窟窿中】近日，辽宁鞍山，一男子想横穿冰面抄近道，不幸落入冰窟窿中，男子大声求救，路人报警求助。消防员立即赶赴，对其进行安全保护措施后，将男子托举到冰面上，男子成功获救。冬季大家注意安全，千万不要存在侥幸心理在冰面上行走。
1699896161# #【电动车起火保安大哥徒手拖走赞】11月11日，海南海口一小区地下室内，一辆电动车突然冒烟起火。危急时刻，机动巡逻的保安王千春发现了险情，他徒手拖车，冷静灭火，顺利将火灾扑灭于起始阶段，避免了更大损失。“感谢认真负责、沉着冷静、有勇有谋的保安大哥。”业主们获悉此事纷纷点赞。
1700860783# #辽宁消防超话【初入职场的搜救犬在演我】的新手搜救犬上路啦，瞧瞧它着急忙慌去工作的样子，有没有感觉到像极了第一次上班的我们！不过，得到指令后，我们的“职场小白”表现还是非常亮眼的~戳视频，犬犬唤起你第一天参加工作的回忆~消防搜救犬谁看了不爱
1692913776# #【1岁宝把自己锁家消防6分钟破门】近日，浙江温州，1岁半宝宝操作失误将家中房门反锁，母亲焦急报警求助。消防员赶赴，安抚孩子情绪同时，快速破拆，6分钟后将房门打开，宝宝安全获救。
1694803117# #【渔船深夜起火三艘消防船连夜扑救】近日，山东青岛，一艘离岸十多公里的渔船突然起火。消防员接警后调派3艘船赶赴，只见30米长的渔船被浓烟笼罩，火苗腾起两米多高，协同相关部门第一时间转移走船上的7名群众后，经过5个小时的紧张救援，扑灭了大火。提示：出海前要加强对船只安全隐患的排查！
1702763515# #【蓝朋友教你三个动作增强免疫力】免疫力下降都有哪些信号？冬季，免疫力面临多重考验，怎样护好“第一道防线”？蓝朋友先教大家三个动作，简单好学，快来一起打卡吧~中国消防的微博视频
1698890383# #黑龙江消防快讯【失明老人被困阳台外119联合110救回】近日，安徽宣城，一失明老人翻越阳台被困防护窗外侧，脚踩房檐随时有坠落危险，情况紧急。和民警紧急赶赴，立即为老人做好防护后，小心翼翼将老人救回屋内。消防蓝朋友
1694720303# #【秋收虽忙危险要防】秋季是丰收的季节，但因天干物燥也极易引发火灾。还有机械的使用，少不了要注意安全。那么农民朋友们在收割农田时，都需要注意哪些事呢？戳视频了解↓↓惊艳了整个秋天的丰收色
1701101341# #辽宁消防超话【会变魔术的消防员他来啦】会唱歌跳舞的蓝朋友你见过，会变魔术的蓝朋友你见过吗？今天他来啦！快来围观蓝朋友的即兴魔术表演~消防员才艺卷起来了
1694378462# #【乘坐地铁安全须知】地铁是城市里的一种重要交通工具，客流量大，人员集中，一旦发生意外，极易造成群死群伤的严重后果，关于地铁乘坐安全须知，跟阿福一起戳图看看吧。
1694646909# #【熊孩子逃课翻墙栅栏扎穿手掌】近日，湖南娄底，熊孩子有门不走偏爬高翻围栏，不慎刺穿手掌，老师发现报警。消防员赶赴，栅栏顶端的尖锐物刺入男孩手掌，孩子疼痛哭喊不止，安抚情绪的同时破拆围栏，蓝朋友助娃脱困后将其送至医院救治。ps：可不能再翻墙了~消防蓝朋友
1695657868# #【电动车入户起火孩子说听见窜天猴声】近日，山西运城，一居民家中小孩在写作业时突然听见“窜天猴”一样的声音，来到客厅一看是停放的电动车着火了。消防员紧急赶赴及时扑灭了火势，所幸无人受伤，只是家中被烧得面目全非，空调外机也被烧毁，黑烟将楼上邻居的外墙全部熏黑。提示：自觉做到电动车不
1692572234# #辽宁消防超话【女子打馅手卷绞肉机手指变形】近日，安徽合肥，一女子打馅时，因操作不当，不慎将手卷进绞肉机中，被牢牢卡住，手指被卡变形，报警求助。消防员赶赴，安抚女子情绪同时，紧急破拆绞肉机，帮女子脱困后交由医护人员救治。消防蓝朋友
1700323784# #【报平安的电话还没挂断就累睡着了】近日，山西晋城，凌晨出警归队时天都蒙蒙亮了，蓝朋友坐在消防车上，照例给妻子打个视频报平安，可话还没说完呢便疲惫地睡着了，战友用手机记录下这令人心疼一幕。消防蓝朋友
1690499747# #【夏季谨防这些“热”隐患】夏季来临，气温升高，家庭用火、用气、用电量激增，火灾风险也在显著增加。这份入夏安全小贴士请收好！
1704384078# #【老人掉冰洞消防边抢时间边搓热乎】近日，辽宁抚顺，一名老人不慎掉入冰窟窿中，抚顺消防接警后紧急赶赴，此时户外温度为-16℃，老人由于失温已有些不清醒，情况危急。救援人员迅速向老人匍匐靠近，将其拉上冰面后，背上消防车送医，一路上不停地给老人搓手搓脚。交给医护人员时，整个救援用时正好
1697558557# #【周知！支原体感染要注意点啥】北京儿童医院呼吸科主任徐保平表示，支原体肺炎主要症状有2个：发热和咳嗽。咳嗽初起是阵发性干咳，进展中会有咯痰。有人会出现胸痛、咽痛、头痛，少数人出现紫绀、呼吸困难，应及时到医院就诊。一线治疗药物主要是大环内酯类抗生素，如阿奇霉素、红霉素、克拉霉素
1693764996# #【手机充电注意事项】当前手机已成为日常生活中不可或缺的电子产品，频繁使用手机，耗电量快，那么日常生活中你是怎样给手机充电的呢？充电过程是否安全？跟着阿福一起学习手机充电的正确姿势吧！
1690330164# #福吉说消防超话【“九小场所”消防安全提示】“九小场所”，是指小旅馆、小商场、小餐饮场所等空间有限、人员密集程度高的场所。由于这类场所容易出现可燃物多、火源管理差、“三合一”等问题，“小场所”可能会发生大事故。“九小场所”应做好哪些消防安全工作？戳图了解↓↓
1701894558# #东北滑雪场热闹得像下饺子【滑雪安全注意事项】去滑雪场滑雪，不仅可以放松精神，还可以锻炼身体。去滑雪要做好哪些准备才能保证安全？戳图了解↓↓
1697061359# #【酒厂起火消防员顶着刺鼻酒气灭火】近日，湖南娄底，一酒厂突发起火，消防员赶赴。由于酒缸中米酒泄露，满地火苗流淌，现场浓烟滚滚混着酒气四下弥漫，消防员冲破浓烟雾障奋勇扑救，几个小时后，大火被成功扑灭。
1698890348# #黑龙江消防快讯“预防为主，生命至上”让我们一起行动起来学习消防安全知识防患于未然！
1687820713# #【伐木工人高空作业时受伤被困树上】近日，河南鹤壁，伐木工人高空作业时不慎受伤被困树上。消防员赶赴，暖心传递绳索，引导工人系牢，最后小心帮助工人平安回到地面。中国消防的微博视频
1689120270# #女子坐26楼轻生消防员一把抱回近日，广东广州，一女子坐在26楼阳台护栏上欲轻生，双脚悬空。消防员接警赶赴，在场家人保持与女子对话，消防员趁机从后面悄悄靠近女子，一把抱回安全区域。消防蓝朋友
1699566382# #【当侠客遇上消防员会擦出怎样的火花】当凌云与消防员切磋武艺，会擦出怎样的火花？看似不经意的习惯又存在哪些隐患呢？戳视频，快看精彩内容吧。ps:预防为主，生命至上。增强防火意识，关注消防安全，用行动防范火灾的发生，共同守护美丽家园。全国消防宣传月
1690499750# #消防蓝朋友7月26日晚，丽水消防员外出进行夜间演练，结束后偶遇小迷弟，看见消防车非常想参观。消防员：安排！抱一抱抱一抱全民正能量
1702052201# #【高层建筑消防安全八提示】高层建筑结构复杂、人员密集，用火、用电、用气多，安全隐患大，那么，你知道高层建筑如何防范火灾？这些防火知识一定要掌握！
1689894038# #【女子打馅左手卷进绞肉机血流满地】近日，湖南邵阳，一女子在打馅时，因操作不当，不慎将整只左手卷进绞肉机中，死死卡住无法取出，血流满地，报警求助。消防员赶赴，一边安抚女子情绪，一边用角磨机、无齿锯等工具小心翼翼地对绞肉机进行破拆。处置成功后，现场医护人员紧急接力救援。消防蓝朋友
