1704542400# #7# #20834# #0.04351101724537208
1701579017# #0# #2000000# #0.05556645522612519
1698112855# #0# #2000000# #0.18602079818864137
1704038703# #0# #2000000# #0.029607244406187127
1703217581# #0# #2000000# #0.04612717849617976
1697717021# #0# #2000000# #0.014369930220669807
1699159913# #0# #2000000# #0.15201938591602646
1702908194# #3# #117359# #0.4193858345229217
1702521581# #0# #2000000# #0.22703940964921093
1699172354# #3# #4250# #0.07722662936440894
1698286131# #0# #2000000# #0.046578773547591906
1698798635# #0# #2# #0.4035083035096665
1703132707# #0# #2000000# #0.025495895913155556
1702431654# #0# #624528# #0.003905961970568826
1704006086# #0# #2000000# #0.00448675807780613
1698977700# #3# #79682# #0.03651232122965062
1700993624# #0# #2000000# #0.008007474235669802
1702130877# #-1# #106# #0.16199035833912284
1701675306# #0# #2000000# #0.3591588268318505
1701857186# #0# #2000000# #0.035191752290697216
1699409026# #0# #2000000# #0.052096686612364836
1697508914# #0# #2000000# #0.05623236598270207
1697974549# #0# #2000000# #0.0804336124794786
1703168385# #-1# #2# #0.19276791495893464
1697961047# #-1# #1# #0.2666176636161138
1702389281# #-1# #2# #0.32556713190087866
1697033904# #-1# #4# #0.06415316329521732
1696077982# #-1# #0# #0.004389552279535324
1703408674# #-1# #1# #0.11214983170865635
1699582070# #-1# #0# #0.033553152356444134
1703168401# #-1# #1# #0.12810840119627523
1700140746# #-1# #0# #0.02190134514381721
1695986289# #-1# #1# #0.6779552008488068
1703428212# #-1# #1# #0.07261360200168306
1698325924# #-1# #3# #0.4093608272419715
1704550325# #-1# #1# #0.17930330485477924
1704629087# #-1# #3# #0.19984342228060176
1700140709# #-1# #2# #0.06629076889119834
1704198238# #-1# #0# #0.10892285620748517
1703511793# #-1# #2# #0.15849637702806174
1695299206# #-1# #0# #0.7399035868947638
1696597664# #-1# #0# #0.04818634562283596
1703432501# #-1# #1# #0.05649723568317267
1703857098# #-1# #1# #0.08327240300522955
1703342918# #-1# #0# #0.016156763843434584
1704375562# #-1# #1# #0.39280143922901195
1701088569# #-1# #1# #0.041675162029035366
1702200612# #-1# #1# #0.12448150867231204
1701610630# #-1# #0# #0.5808589696960189
1694867931# #-1# #0# #0.005643055429713626
1704112772# #-1# #0# #0.2343986423683752
1701788128# #-1# #2# #0.45274962479603714
1701693722# #-1# #1# #0.19154971806851853
1696155905# #-1# #0# #0.004234505903823505
1699932793# #-1# #1# #0.0401363819949331
1696949953# #-1# #6# #0.09943433927571603
1703511808# #-1# #1# #0.34259002798138394
1700319671# #-1# #2# #0.9689869591391206
1699782555# #-1# #0# #0.027732584314617295
1703680572# #-1# #0# #0.12448150867231204
1698235810# #-1# #1# #0.8445449105479866
1699582051# #-1# #1# #0.03813480375858884
1704550338# #-1# #4# #0.01195174853595631
