1687435785# #处理危机真的很牛逼的一个薛之谦，这处理的太可爱了
1703852776# #4月份杭州！
1699266334# #知道啦知道啦
1699061414# #转发微博
1694260062# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的薛之谦，快来和我一起为更多优秀音乐内容助力！举手
1702875638# #歌手薛之谦2023走过中国大大小小33个城市70场演唱会，每一站都生动有趣地结合当地特色改词吟唱。这一站来到福建三明，谢谢歌手让我知道原来吃过的沙县小吃来自这里哈哈他说“从三明做起点，让沙县走向世界”，嗯，一定会打call
1694345859# #受不了啊啊啊泪
1701410995# #救命哈哈哈哈哈哈哈哈哈哈哈
1702233756# #转发微博
1696133600# #真好泪
1691935827# #干嘛啊泪泪泪
1702822589# #转发微博
1702818351# #就是这样都吖
1694778215# #转发微博
1697088550# #。。
1698690696# #全程！！！打call
1691070757# #转发微博
1689508805# #救命救命我好爱啊啊啊啊啊啊
1703989223# #太期待了！！！
1700450858# #存
1694884866# #转发微博
1699703321# #好可爱啊
1694348242# #来日方长，希望薛之谦平安健康，病痛远离泪
1691754150# #怎么又坐湿屁股啊哈哈哈
1700471511# #？？？？
1693978053# #转发微博
1703495296# #给我冲哈哈哈哈哈哈哈
1692457734# #好美的灯海
1693150083# #陈陈辛苦啦！！请你和薛之谦🔒抱一抱老师好
1694349528# #十八周年快乐@薛之谦
1691141011# #喜提代言人！！！！！
1691329169# #爱看啊啊啊啊啊啊啊啊啊啊啊啊
1691817447# #转发微博
1702630887# #老公！！！！！！爱看！！！！
1693104551# #转发微博
1695900986# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好
1699101675# #啊啊啊啊啊受不了泪
1703508808# #转发微博
1699798594# #明年见！！
1703476678# #merrychristmastoyou🥺💓
1697389081# #转发微博
1689349177# #转发微博
1690044555# #追星小猪上线，演我呢
1696001394# #啊好喜欢好喜欢好喜欢好喜欢！！
1689252065# #没必要……少感动自己影响他人……更何况还是内场
1691332676# #转发微博
1693054115# #还我粉发🐷苦涩老师好老师好老师好
1702034906# #情书我的评分：星星星星星星星星星星。微博音乐影响力榜情书薛之谦
1692362767# #怎么那么好看啊啊啊啊啊，
1688832258# #大到离谱这个玫瑰花哈哈哈哈
1702903414# #宝宝抱一抱
1702817061# #好好好
1692548423# #我分享了文章
1691754556# #我靠杀疯了啊啊啊啊啊啊啊啊啊
1696001433# #让我癫一会先啊啊啊啊啊啊啊啊啊啊
1692163064# #哪里有崇拜哪里就有我抱一抱
1693727339# #给我补上前面几期的！！！
1703423579# #帅！！
1699584177# #服了。
1702564464# #转发微博
1694349808# #望周知，来日方长
1693181916# #转发微博
1687449939# #真好啊！！！！
1702876158# #好好好
1701613026# #来广东内地，谢谢
1695381214# #我靠泪我老公
1702124045# #我爱演员变调！！！！
1702571100# #抽我爱你
1702816857# #薛猪来广东
1691849188# #我的宝贝我要哭死了！！泪
1691147634# #薛之谦京都念慈菴品牌代言人抱一抱薛之谦化身老师bgm买咯
1694302700# #转发微博
1699189514# #转发微博
1691326518# #发现背头的又一个好处，比有刘海凉快，起码额头不热笑cry
1702616638# #笑鼠我了哈哈哈哈哈哈哈跟高铁扛上了
1696000918# #啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊让我疯一会泪
1699099280# #宝贝跟我回广东叭抱一抱抱一抱
1691687997# #好可爱！！！薛之谦天外来物巡回演唱会
1692864762# #转发微博
1690122274# #呜呜呜呜好好看！！！
1694302909# #转发微博
1692551916# #好好休息！！！
1697424232# #转发微博
1699271731# #不许退幕后宝宝！！！还有筒请多发苦涩
1693748581# #转发微博
1698155226# #真好憧憬
1691939341# #转发微博
1695988884# #啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
1695047416# #薛之谦天外来物巡回演唱会好看
1695381548# #转发微博
1691750472# #看完好声音就退网老师好
1703394404# #我推荐《火星情报局6》为微博网友喜爱综艺，好综艺带来的快乐、感动是平凡生活里一道灿烂的阳光。一起来微博之夜推荐更多优质综艺吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;link
1693056872# #转发微博
1693297303# #转发微博
1693051887# #粉发！！！！！
1693883856# #转发微博
1694488125# #转发微博
1703519657# #转载了的微博图片老公亲亲
1691229521# #好可怜的猪宝，快快好起来吃好吃的！！！不过香菜这个不太能接受
1691755207# #我非常支持✊
1693048459# #快宣广州老师好
1702264668# #王子苦涩
1696430071# #转发微博
1692362012# #啊啊啊啊啊啊啊啊啊一屁股叔叔！！！！
1695991451# #中秋节快乐！！
1702824603# #辛苦了宝贝千万憋感冒了，你也要洗个热水澡😭
1695479500# #我靠
1696521857# #转发微博
1703339192# #很离谱哈哈哈哈
1699789403# #好！！！
1700279363# #熟悉的感觉，要开启异国恋了悲伤
1690584253# #好伟大的一张脸
1700722500# #笑鼠我了哈哈哈哈哈哈哈
1697982424# #转发微博
1691333240# #好可爱的宝宝！！！！
1694850851# #🍻
1697005123# #好近啊啊！
1697125074# #啊啊啊啊啊啊
1688350670# #真好真好啊啊啊啊啊啊真好！！
1693751990# #可是好帅啊！！！！
1700743216# #我老师好
1702616685# #好
1701758675# #我靠？？？？？真的啊？？？？
1694272319# #平安健康病痛消失消失消失消失消失消失
1693727682# #转发微博
1691565437# #转发微博
1699511211# #可爱宝宝！！！抱一抱
1691755111# #小猪，可爱的🐷！！！
1691755506# #！今晚必须发！！！！！
1703508381# #转发微博
1692551712# #我靠舔屏
1699706421# #老公！！！！
1701519241# #老公！！！！
1703853981# #转发微博
1697012038# #根本无心上班，。这破班一点不想上
1695383474# #迟迟！！！
1696650139# #转发微博
1701964935# #薛之谦《情书》收到啦
1690778256# #存一个
1695383494# #为什么不能全脱
1701946526# #薛之谦新歌情书
1703234497# #宝宝！
1703508875# #转发微博
1694012289# #转发微博
1691936887# #宝宝泪
1703131239# #老师，我们家薛之谦肿么了这是
1691814841# #晴空万里
1702264779# #笑鼠我了尼克慌的一批
1700722542# #转发微博
1692457947# #天线宝宝啊啊啊！！！！！！
1693978008# #金桔柠檬！！！
1703423451# #帅炸了
1687187273# #噢
1698313740# #薛之谦京都念慈菴品牌代言人好！！憧憬
1699180122# #转发微博
1701618131# #转载了的微博图片。给我亲一下
1689337884# #我的妈呀
1692461806# #啊啊啊啊
1701611060# #嗯，你开心就好
1696186125# #转发微博
1690502302# #转发微博
1693155957# #“只有少年才能让这个世界更美好，一定要让他们知道什么是对什么是错”所以他会在演唱会多多cue到小朋友开学季薛之谦的眼界无人能比开学季开学季开学季
1698250129# #宝宝泪
1702733261# #宝宝啊啊啊啊啊啊啊啊啊啊啊要多穿点啊啊啊啊
1703244941# #？
1699293610# #薛之谦天外来物巡回演唱会414
1700431305# #存
1699593688# #真好啊苦涩
1699099189# #跟我回广东哈哈哈哈哈
1687347626# #转发微博
1701961719# #小风泪
1693111334# #不要污染海洋！！！
1692698246# #终于知道了哈哈哈哈哈哈哈双方都好尴尬啊
1697020782# #来
1694264184# #哈哈哈哈哈哈哈猪：/笑死我了
1704037349# #薛之谦太牛了！！！！！
1694953830# #转发微博
1702368781# #首页看到有人提2021年，内地歌手谁敢抗衡薛之谦的2021？线下演唱会你有官方认证超10万观演吗？线上流媒你有这实绩吗？唱工委年度男歌手你是吗？所有音乐版权归属自己的音乐公司潮石音乐你行吗？可笑至极～
1702804250# #太好看了我的宝
1693495598# #我的宝贝悲伤
1697879651# #皮下皆为🍑新手卖家，今天才知道🍑的诸多限制，如已付款订单卖家无法关闭、不同意修改地址会有风险、每日关闭交易有上限…等等等等，游记本意纪念，真心希望大家不要高价购入，未来我们定有二售
1701607720# #我闻闻闻闻
