1695108095# #0# #0# #0.6036345717697955
1703195053# #0# #2# #0.08973344638387094
1692945373# #0# #1# #0.6864272042699083
1688273531# #0# #2# #0.2193446418258907
1702004775# #0# #0# #0.6864272042699083
1703223716# #0# #3# #0.5484580953284618
1692610303# #0# #0# #0.6864272042699083
1699885513# #0# #4# #0.004094326236343104
1703552652# #0# #2# #0.6395109909507246
1697976592# #0# #7# #0.8218317721357346
1694682157# #0# #5# #0.03840159486499997
1688257998# #0# #0# #0.013263422941276897
1704071261# #0# #1# #0.01568341238780634
1701734295# #0# #6# #0.7542045527068716
1700789108# #0# #0# #0.011177562512402716
1688277292# #0# #0# #0.6864272042699083
1690445711# #0# #20# #0.1443049794971694
1687009808# #0# #0# #0.6864272042699083
1692409596# #0# #2# #0.6864272042699083
1694682175# #0# #1# #0.6864272042699083
1703144037# #0# #0# #0.0358940857975652
1695207749# #0# #24# #0.20474475335646433
1701676949# #0# #0# #0.6864272042699083
1703584398# #0# #2# #0.724343352185197
1701388948# #0# #3# #0.6864272042699083
1699953846# #0# #20# #0.724686807611981
1701318849# #0# #1# #0.9826471098337618
1701833204# #0# #0# #0.8012361027093496
1700802540# #0# #1# #0.6864272042699083
1693871757# #0# #4# #0.5347951958335314
1701961803# #0# #15# #0.003697884168425855
1698394112# #0# #2# #0.21673167920239672
1695275693# #0# #0# #0.6864272042699083
1694336953# #0# #3# #0.06373027214069164
1700090427# #0# #1# #0.6269082879831219
1700640861# #0# #0# #0.6864272042699083
1699084094# #0# #4# #0.4582864787943845
1689261389# #0# #0# #0.9910424241346267
1687097735# #0# #3# #0.3251787820446029
1701833919# #0# #0# #0.8012361027093496
1696679945# #0# #9# #0.8483530179836049
1701851709# #0# #1# #0.8012361027093496
1691750106# #0# #6# #0.6864272042699083
1693064938# #0# #0# #0.6864272042699083
1691448401# #0# #0# #0.6864272042699083
1698543011# #0# #2# #0.0781726526774955
1692354970# #0# #0# #0.6864272042699083
1693381835# #0# #0# #0.6864272042699083
1694425236# #0# #0# #0.6864272042699083
1701737092# #0# #2# #0.017050537718993848
1694995797# #0# #0# #0.6864272042699083
1703897570# #0# #0# #0.10833496521292071
1691456871# #0# #0# #0.6684464772483003
1701849280# #0# #1# #0.19548571769360684
1700176912# #0# #2# #0.6864272042699083
1688113428# #0# #0# #0.6864272042699083
1690725782# #0# #6# #0.03894281528466016
1703255440# #0# #0# #0.004786912583822788
1693269730# #0# #1# #0.08212424402101731
